Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10,BidAskSpreadPct,BidDepthVolume10,AskDepthVolume10,DepthImbalance
MSN,2026-08-25T16:01:23.863401+07:00,14:46:16,10.0,70.0,65.1,74.9,70.5,69.0,323046.58,464350.0,69.5,70.0,0.0,0.0,102754.6,97921.4,4833.200000000012,153495108.1,116387759.0,69.4,69.5,3760.0,80.0,69.3,69.6,15670.0,3220.0,69.2,69.7,10350.0,8360.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29780.0,11660.0,0.4372586872586873
MWG,2026-08-25T16:01:23.863401+07:00,14:45:03,10.0,75.1,69.9,80.3,75.3,73.8,190842.66,255640.0,73.9,200.0,0.0,0.0,16430.0,16540.0,-110.0,72374729.4,0.0,73.9,74.0,270.0,2240.0,73.8,74.1,7860.0,380.0,73.7,74.2,2470.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600.0,3620.0,0.4908579465541491
PLX,2026-08-25T16:01:23.863401+07:00,14:46:18,10.0,38.05,35.4,40.7,38.0,37.0,135144.2,360560.0,37.5,1540.0,0.0,0.0,24150.0,30100.0,-5950.0,25877561.6,7452704.1,37.45,37.5,1160.0,2470.0,37.4,37.7,3140.0,710.0,37.35,37.75,2970.0,1640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7270.0,4820.0,0.20264681555004135
SAB,2026-08-25T16:01:23.863401+07:00,14:46:20,10.0,46.1,42.9,49.3,46.35,45.6,28960.12,63040.0,46.1,60.0,0.0,0.0,19510.0,8910.0,10600.0,128256237.2,52754504.4,46.0,46.1,50.0,840.0,45.95,46.15,660.0,280.0,45.9,46.2,970.0,1270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680.0,2390.0,-0.17444717444717445
SHB,2026-08-25T16:01:23.863401+07:00,14:46:21,10.0,12.1,11.3,12.9,12.1,11.9,610436.5,5089500.0,12.05,15460.0,0.0,0.0,445853.3,22521.5,423331.8,160326000.7,140234015.8,12.0,12.05,211710.0,283650.0,11.95,12.1,364460.0,661880.0,11.9,12.15,476820.0,221960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1052990.0,1167490.0,-0.05156542729499928
SSB,2026-08-25T16:01:23.863401+07:00,14:46:22,10.0,15.5,14.45,16.55,16.05,15.5,35659.14,226160.0,15.85,50.0,0.0,0.0,34900.0,39575.1,-4675.099999999999,102864000.0,102145222.0,15.8,15.85,600.0,2110.0,15.75,15.9,620.0,4720.0,15.7,15.95,2720.0,3850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3940.0,10680.0,-0.46101231190150477
SSI,2026-08-25T16:01:23.863401+07:00,14:46:22,10.0,21.25,19.8,22.7,21.5,21.1,652506.87,3065830.0,21.25,170.0,0.0,0.0,247628.6,132409.8,115218.80000000002,250308922.0,174740185.2,21.25,21.3,6250.0,23430.0,21.2,21.35,34910.0,39610.0,21.15,21.4,34420.0,48320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75580.0,111360.0,-0.19139830961805926
STB,2026-08-25T16:01:23.863401+07:00,14:46:22,10.0,74.9,69.7,80.1,75.4,74.1,250210.61,335270.0,74.2,20.0,0.0,0.0,21120.0,88032.3,-66912.3,56556471.4,36055000.4,74.2,74.3,30.0,1090.0,74.1,74.4,7440.0,10.0,74.0,74.5,19990.0,820.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27460.0,1920.0,0.8692988427501702
TCB,2026-08-25T16:01:23.863401+07:00,14:46:23,10.0,31.45,29.25,33.65,31.9,31.2,464074.17,1473200.0,31.3,50.0,0.0,0.0,11404.0,326140.0,-314736.0,159713938.1,14165700.0,31.3,31.4,31170.0,5030.0,31.25,31.45,4670.0,15240.0,31.2,31.5,86870.0,19290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122710.0,39560.0,0.512417575645529
TPB,2026-08-25T16:01:23.863401+07:00,14:46:24,10.0,14.6,13.6,15.6,14.7,14.4,77999.79,537020.0,14.45,100.0,0.0,0.0,8220.0,17390.8,-9170.8,83221406.1,22398180.2,14.4,14.45,48650.0,3130.0,14.35,14.5,21460.0,9640.0,14.3,14.55,15920.0,17260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86030.0,30030.0,0.4825090470446321
VCB,2026-08-25T16:01:23.863401+07:00,14:46:25,10.0,59.2,55.1,63.3,60.2,59.2,333220.53,557720.0,59.4,30.0,0.0,0.0,61908.0,95938.9,-34030.899999999994,250670252.8,82843317.2,59.4,59.5,7970.0,590.0,59.3,59.6,7570.0,4440.0,59.2,59.7,15190.0,8760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30730.0,13790.0,0.3805031446540881
VHM,2026-08-25T16:01:23.863401+07:00,14:46:27,10.0,73.4,68.3,78.5,75.2,72.8,687071.98,925260.0,73.6,10.0,0.0,0.0,134522.7,75515.5,59007.20000000001,205370600.2,178372441.6,73.6,73.7,12210.0,1040.0,73.5,73.8,11140.0,7170.0,73.4,73.9,15380.0,12690.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38730.0,20900.0,0.29901056515176927
VIB,2026-08-25T16:01:23.863401+07:00,14:45:05,10.0,14.75,13.75,15.75,14.85,14.6,45562.805,309530.0,14.65,100.0,0.0,0.0,13660.0,11130.4,2529.6000000000004,16985988.4,5857791.0,14.65,14.7,520.0,11770.0,14.6,14.75,33130.0,24520.0,14.55,14.8,15090.0,50710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48740.0,87000.0,-0.2818623839693532
VIC,2026-08-25T16:01:23.863401+07:00,14:48:27,10.0,214.5,199.5,229.5,227.3,215.3,2289808.08,1031020.0,220.5,100.0,0.0,0.0,273911.9,110751.7,163160.2,372721532.0,348153332.8,220.5,220.6,410.0,1600.0,220.3,220.7,10.0,1720.0,220.2,220.8,240.0,1210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,660.0,4530.0,-0.7456647398843931
VJC,2026-08-25T16:01:23.863401+07:00,14:46:27,10.0,124.5,115.8,133.2,125.1,123.8,188469.17,151170.0,124.7,10.0,0.0,0.0,3670.0,6275.5,-2605.5,23072788.8,18420788.1,124.7,124.9,340.0,640.0,124.6,125.0,530.0,3100.0,124.5,125.1,570.0,530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1440.0,4270.0,-0.4956217162872154
VNM,2026-08-25T16:01:23.863401+07:00,14:46:28,10.0,63.2,58.8,67.6,63.8,62.5,210604.22,334390.0,62.6,380.0,0.0,0.0,73041.8,47293.0,25748.800000000003,208995544.5,104895892.9,62.6,62.7,3100.0,1460.0,62.5,62.8,10830.0,650.0,62.4,62.9,4730.0,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18660.0,3000.0,0.7229916897506925
VPB,2026-08-25T16:01:23.863401+07:00,14:46:28,10.0,26.35,24.55,28.15,26.65,26.15,430669.635,1630920.0,26.4,10.0,0.0,0.0,125530.0,95000.1,30529.899999999998,238017708.0,57114899.7,26.35,26.4,19160.0,11330.0,26.3,26.45,2170.0,39360.0,26.25,26.5,140.0,57840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21470.0,108530.0,-0.6696923076923077
VPL,2026-08-25T16:01:23.863401+07:00,14:46:29,10.0,76.9,71.6,82.2,77.3,76.0,57523.86,75180.0,76.5,50.0,0.0,0.0,17940.0,13630.0,4310.0,91995068.4,80065419.1,76.5,76.6,40.0,300.0,76.3,76.7,20.0,300.0,76.2,76.8,100.0,700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,1300.0,-0.7808219178082192
VRE,2026-08-25T16:01:23.863401+07:00,14:46:29,10.0,25.3,23.55,27.05,25.8,25.1,176876.71,694090.0,25.2,250.0,0.0,0.0,116050.0,101396.5,14653.5,114112102.0,88202549.8,25.2,25.3,8460.0,80.0,25.15,25.35,3480.0,2330.0,25.1,25.4,9300.0,1270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21240.0,3680.0,0.7046548956661316
