Ticker,Kind,InLatestMetrics,DailyPath,IntradayPath,MinuteProfilePath
ACB,equity,True,daily/ACB.csv,intraday/ACB.csv,intraday/minute_profile/ACB.csv
BID,equity,True,daily/BID.csv,intraday/BID.csv,intraday/minute_profile/BID.csv
BSR,equity,True,daily/BSR.csv,intraday/BSR.csv,intraday/minute_profile/BSR.csv
CTG,equity,True,daily/CTG.csv,intraday/CTG.csv,intraday/minute_profile/CTG.csv
FPT,equity,True,daily/FPT.csv,intraday/FPT.csv,intraday/minute_profile/FPT.csv
GAS,equity,True,daily/GAS.csv,intraday/GAS.csv,intraday/minute_profile/GAS.csv
GVR,equity,True,daily/GVR.csv,intraday/GVR.csv,intraday/minute_profile/GVR.csv
HDB,equity,True,daily/HDB.csv,intraday/HDB.csv,intraday/minute_profile/HDB.csv
HPG,equity,True,daily/HPG.csv,intraday/HPG.csv,intraday/minute_profile/HPG.csv
LPB,equity,True,daily/LPB.csv,intraday/LPB.csv,intraday/minute_profile/LPB.csv
MBB,equity,True,daily/MBB.csv,intraday/MBB.csv,intraday/minute_profile/MBB.csv
MSN,equity,True,daily/MSN.csv,intraday/MSN.csv,intraday/minute_profile/MSN.csv
MWG,equity,True,daily/MWG.csv,intraday/MWG.csv,intraday/minute_profile/MWG.csv
PLX,equity,True,daily/PLX.csv,intraday/PLX.csv,intraday/minute_profile/PLX.csv
SAB,equity,True,daily/SAB.csv,intraday/SAB.csv,intraday/minute_profile/SAB.csv
SHB,equity,True,daily/SHB.csv,intraday/SHB.csv,intraday/minute_profile/SHB.csv
SSB,equity,True,daily/SSB.csv,intraday/SSB.csv,intraday/minute_profile/SSB.csv
SSI,equity,True,daily/SSI.csv,intraday/SSI.csv,intraday/minute_profile/SSI.csv
STB,equity,True,daily/STB.csv,intraday/STB.csv,intraday/minute_profile/STB.csv
TCB,equity,True,daily/TCB.csv,intraday/TCB.csv,intraday/minute_profile/TCB.csv
TPB,equity,True,daily/TPB.csv,intraday/TPB.csv,intraday/minute_profile/TPB.csv
VCB,equity,True,daily/VCB.csv,intraday/VCB.csv,intraday/minute_profile/VCB.csv
VHM,equity,True,daily/VHM.csv,intraday/VHM.csv,intraday/minute_profile/VHM.csv
VIB,equity,True,daily/VIB.csv,intraday/VIB.csv,intraday/minute_profile/VIB.csv
VIC,equity,True,daily/VIC.csv,intraday/VIC.csv,intraday/minute_profile/VIC.csv
VJC,equity,True,daily/VJC.csv,intraday/VJC.csv,intraday/minute_profile/VJC.csv
VNM,equity,True,daily/VNM.csv,intraday/VNM.csv,intraday/minute_profile/VNM.csv
VPB,equity,True,daily/VPB.csv,intraday/VPB.csv,intraday/minute_profile/VPB.csv
VPL,equity,True,daily/VPL.csv,intraday/VPL.csv,intraday/minute_profile/VPL.csv
VRE,equity,True,daily/VRE.csv,intraday/VRE.csv,intraday/minute_profile/VRE.csv
VNINDEX,index,True,daily/VNINDEX.csv,intraday/VNINDEX.csv,intraday/minute_profile/VNINDEX.csv
VN30,index,True,daily/VN30.csv,intraday/VN30.csv,intraday/minute_profile/VN30.csv
