Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,10400,0.86396,13200,1.0963,2800,0.23234,845092425,1.88
2026-07-09,-8300,-0.69134,27100,2.25124,35400,2.94258,845092825,1.87
2026-07-08,66900,5.44451,77300,6.30098,10400,0.85647,845125925,1.87
2026-07-07,67900,5.59937,67900,5.59937,0,0.0,845184995,1.87
2026-07-06,-34400,-2.93527,17900,1.50939,52300,4.44466,845182995,1.87
2026-07-03,-9400,-0.8156,3600,0.3128,13000,1.1284,845183495,1.87
2026-07-02,-2000,-0.17634,3000,0.261,5000,0.43734,845183495,1.87
2026-07-01,15900,1.40628,56600,4.98973,40700,3.58345,845199395,1.87
2026-06-30,103300,9.26981,105400,9.45458,2100,0.18477,845188205,1.87
2026-06-29,3200,0.27661,11300,0.98484,8100,0.70823,845122432,1.87
2026-06-26,-114500,-10.00027,12600,1.09421,127100,11.09448,844985836,1.88
2026-06-25,-69000,-6.08638,35400,3.12434,104400,9.21072,844808644,1.89
2026-06-24,-137000,-12.33472,7900,0.69868,144900,13.0334,844601843,1.9
2026-06-23,-177800,-16.16942,50500,4.57,228300,20.73942,844601843,1.9
2026-06-22,-206800,-18.84144,168800,15.48326,375600,34.3247,844542383,1.91
2026-06-19,2251700,204.95887,2591700,235.82763,340000,30.86876,846794083,1.78
2026-06-18,-59500,-5.3262,89200,8.10889,148700,13.43509,846794283,1.78
2026-06-17,-151400,-13.29728,59500,5.31747,210900,18.61475,846837850,1.78
2026-06-16,316100,28.63363,687600,62.02211,371500,33.38848,847041250,1.77
2026-06-15,108600,9.66125,505300,44.31069,396700,34.64944,847137051,1.76
