Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-3045100,-82.251385,1402100,37.78257,4447200,120.033955,480488073,23.94
2026-07-09,-2502200,-68.600525,291000,7.991795,2793200,76.59232,479940473,23.95
2026-07-08,-4430600,-123.56559,585000,16.29583,5015600,139.86142,479955573,23.95
2026-07-07,-558800,-15.26594,850300,23.36214,1409100,38.62808,479972373,23.95
2026-07-06,1359600,36.774,3141600,86.028475,1782000,49.254475,480332052,23.95
2026-07-03,1441300,39.901475,2126200,58.848395,684900,18.94692,481773052,23.93
2026-07-02,-999900,-27.735055,300300,8.33313,1300200,36.068185,469991952,24.08
2026-07-01,1313700,36.121815,3281700,90.546265,1968000,54.42445,480359681,23.95
2026-06-30,218900,5.911365,704200,19.035655,485300,13.12429,480359681,23.95
2026-06-29,-1445900,-39.08043,1406500,38.009365,2852400,77.089795,480359681,23.95
2026-06-26,151300,4.18103,976700,26.049535,825400,21.868505,477130826,23.99
2026-06-25,270200,7.179605,651200,17.307295,381000,10.12769,477412726,23.98
2026-06-24,-3391300,-89.352005,608200,16.08579,3999500,105.437795,475778128,24.0
2026-06-23,798400,21.760985,4451700,119.303565,3653300,97.54258,474057691,24.02
2026-06-22,-1634600,-42.383135,223500,5.79731,1858100,48.180445,470527163,24.07
2026-06-19,-2522300,-65.890745,365200,9.531385,2887500,75.42213,468326333,24.1
2026-06-18,-3530400,-93.19869,387900,10.22286,3918300,103.42155,465209825,24.14
2026-06-17,-2200800,-58.102945,870700,23.0725,3071500,81.175445,460728825,24.19
2026-06-16,-3113100,-82.13467,1288400,34.070165,4401500,116.204835,458580725,24.22
2026-06-15,-4481000,-117.38901,1196900,31.38189,5677900,148.7709,457288206,24.24
