Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-1338200,-35.644725,611000,16.215455,1949200,51.86018,863241149,11.93
2026-07-09,-744500,-20.12232,150100,4.059645,894600,24.181965,863246349,11.93
2026-07-08,-285700,-7.75605,623300,16.93084,909000,24.68689,862946849,11.94
2026-07-07,13600,0.323825,234600,6.407535,221000,6.08371,862528349,11.96
2026-07-06,-306500,-8.56474,687500,19.50178,994000,28.06652,861625149,12.0
2026-07-03,-439900,-12.42003,163100,4.60353,603000,17.02356,861601590,12.0
2026-07-02,-903200,-25.469055,95800,2.716065,999000,28.18512,861601590,12.0
2026-07-01,-24300,-0.686805,354000,10.033045,378300,10.71985,861293249,12.02
2026-06-30,129200,3.720975,697700,19.812905,568500,16.09193,861422449,12.01
2026-06-29,-308500,-9.081215,551100,16.177345,859600,25.25856,861422449,12.01
2026-06-26,617900,18.4534,1464900,43.684725,847000,25.231325,862045549,11.98
2026-06-25,415500,12.33815,1088700,32.39274,673200,20.05459,861611861,12.0
2026-06-24,671000,20.134185,1385600,41.658945,714600,21.52476,861981772,11.99
2026-06-23,-1053700,-31.97176,524700,15.894135,1578400,47.865895,860681177,12.04
2026-06-22,-601100,-18.290025,894800,27.279255,1495900,45.56928,860048056,12.07
2026-06-19,-900700,-26.947015,813700,24.055845,1714400,51.00286,858960074,12.12
2026-06-18,-259900,-7.680645,1217400,36.126235,1477300,43.80688,858268318,12.15
2026-06-17,-1087900,-30.516375,1519300,42.579075,2607200,73.09545,857476719,12.18
2026-06-16,-690300,-19.85705,579500,16.65767,1269800,36.51472,856580041,12.22
2026-06-15,-791700,-22.687105,923000,26.33806,1714700,49.025165,856231664,12.23
