Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,2676100,66.20274,3951800,97.797635,1275700,31.594895,86230028,22.16
2026-07-09,-1466800,-36.321895,1271300,31.460565,2738100,67.78246,86230028,22.16
2026-07-08,3871900,100.47104,4834400,125.40251,962500,24.93147,89456502,22.12
2026-07-07,291900,7.51779,1334900,34.05248,1043000,26.53469,87457166,22.15
2026-07-06,-646000,-16.627865,830900,21.20705,1476900,37.834915,87457166,22.15
2026-07-03,-2289100,-58.441415,1231600,31.480775,3520700,89.92219,87457166,22.15
2026-07-02,509300,13.108325,951700,24.488205,442400,11.37988,84988309,22.18
2026-07-01,1146900,29.4471,1492400,38.30651,345500,8.85941,83678535,22.2
2026-06-30,-2974500,-74.9348,514200,12.9588,3488700,87.8936,82472939,22.21
2026-06-29,-2456600,-61.603135,929400,23.319125,3386000,84.92226,80675116,22.23
2026-06-26,-1205600,-29.78204,436500,10.798925,1642100,40.580965,78962110,22.25
2026-06-25,-1797800,-44.594675,1098100,27.240315,2895900,71.83499,75182478,22.3
2026-06-24,-1713100,-42.432265,1449000,35.97273,3162100,78.404995,74433326,22.31
2026-06-23,-3783200,-94.669805,713700,17.81921,4496900,112.489015,73919928,22.32
2026-06-22,-749100,-18.67492,898200,22.411005,1647300,41.085925,73919928,22.32
2026-06-19,-513400,-12.891425,251300,6.3172,764700,19.208625,72535528,22.33
2026-06-18,917200,23.12427,2110000,53.18962,1192800,30.06535,69416010,22.37
2026-06-17,-1384400,-34.919665,1393900,35.167525,2778300,70.08719,65859746,22.42
2026-06-16,-3986700,-100.460445,872500,22.001375,4859200,122.46182,63525447,22.45
2026-06-15,-3506300,-88.224545,1601900,40.29874,5108200,128.523285,63278407,22.45
