Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-43500,-3.31909,35200,2.67452,78700,5.99361,1133184529,2.04
2026-07-09,543300,42.13501,707400,54.82408,164100,12.68907,1133728521,2.01
2026-07-08,-16900,-1.26803,36800,2.76108,53700,4.02911,1133661121,2.02
2026-07-07,49800,3.69778,85600,6.34675,35800,2.64897,1133181965,2.04
2026-07-06,-68400,-4.88706,308000,22.78832,376400,27.67538,1133145165,2.04
2026-07-03,-530200,-40.60606,103200,7.85176,633400,48.45782,1133033966,2.04
2026-07-02,-36800,-2.86027,6900,0.5364,43700,3.39667,1133024213,2.04
2026-07-01,-111300,-8.77,9600,0.75223,120900,9.52223,1133022922,2.04
2026-06-30,-9700,-0.75216,21200,1.64968,30900,2.40184,1132944322,2.05
2026-06-29,-1300,-0.10978,78000,6.05836,79300,6.16814,1132807091,2.05
2026-06-26,-78600,-6.09705,17000,1.31795,95600,7.415,1132615461,2.06
2026-06-25,-137200,-10.73822,42000,3.28829,179200,14.02651,1132007461,2.09
2026-06-24,-185500,-14.3905,327400,25.49401,512900,39.88451,1132007461,2.09
2026-06-23,-608500,-48.50455,32300,2.59991,640800,51.10446,1131992278,2.09
2026-06-22,18600,1.50994,52600,4.29839,34000,2.78845,1132010913,2.09
2026-06-19,-15200,-1.23274,67300,5.46524,82500,6.69798,1132010913,2.09
2026-06-18,104600,8.52987,143600,11.69718,39000,3.16731,1132114948,2.08
2026-06-17,107000,8.74232,304300,24.87906,197300,16.13674,1132221967,2.08
2026-06-16,100700,8.05614,156000,12.60518,55300,4.54904,1132321517,2.07
2026-06-15,129800,10.65408,426600,35.24486,296800,24.59078,1132384771,2.07
