Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-1679300,-119.78461,286000,20.3721,1965300,140.15671,361935919,27.75
2026-07-09,-310100,-22.45752,457800,33.08677,767900,55.54429,361841735,27.76
2026-07-08,-1178600,-85.10084,278200,20.07672,1456800,105.17756,361853035,27.76
2026-07-07,-102700,-7.50406,255000,18.6276,357700,26.13166,361865635,27.76
2026-07-06,1372200,100.54247,2410300,176.45136,1038100,75.90889,363237986,27.68
2026-07-03,613700,44.55842,960100,69.60198,346400,25.04356,363847485,27.64
2026-07-02,439500,32.03499,777200,56.64195,337700,24.60696,361510393,27.78
2026-07-01,717900,51.68234,959200,69.07458,241300,17.39224,361190597,27.8
2026-06-30,-2776500,-195.49165,217600,15.32737,2994100,210.81902,360811079,27.82
2026-06-29,-1037600,-73.02441,317600,22.37086,1355200,95.39527,358907229,27.93
2026-06-26,-379600,-26.75061,832700,58.85482,1212300,85.60543,357261636,28.03
2026-06-25,-2074300,-147.60886,218700,15.54993,2293000,163.15879,356208761,28.09
2026-06-24,-1504400,-105.97057,253700,17.88127,1758100,123.85184,353288304,28.26
2026-06-23,-1060000,-75.43052,111000,7.89825,1171000,83.32877,346523357,28.66
2026-06-22,-2920400,-206.71892,158900,11.2419,3079300,217.96082,339536996,29.07
2026-06-19,-6768000,-481.73423,1915100,136.89665,8683100,618.63088,335639803,29.3
2026-06-18,-6986400,-501.09496,836400,60.03711,7822800,561.13207,334951171,29.34
2026-06-17,-3897200,-282.95072,497000,36.26379,4394200,319.21451,334715170,29.35
2026-06-16,-686400,-50.40941,460500,33.90616,1146900,84.31557,334695170,29.35
2026-06-15,-536000,-39.61587,1363600,100.81244,1899600,140.42831,334308895,29.38
