Date,NetShares,NetValue_billion,BuyShares,BuyValue_billion,SellShares,SellValue_billion,RoomRemainingShares,ForeignHoldingPct
2026-07-10,-18400,-2.53248,16800,2.31015,35200,4.84263,182243033,6.3
2026-07-09,-1200,-0.17101,59500,8.18378,60700,8.35479,182245033,6.3
2026-07-08,-112500,-15.46962,11800,1.62713,124300,17.09675,182183278,6.31
2026-07-07,14300,1.99028,24300,3.38648,10000,1.3962,182200628,6.31
2026-07-06,-64500,-9.04593,42400,5.90523,106900,14.95116,182119504,6.32
2026-07-03,120600,16.84679,161900,22.64842,41300,5.80163,182240489,6.3
2026-07-02,-81100,-11.19141,18400,2.54683,99500,13.73824,182240489,6.3
2026-07-01,92500,12.89774,113400,15.80854,20900,2.9108,182206809,8.2
2026-06-30,166300,23.16595,198900,27.69048,32600,4.52453,140518708,6.25
2026-06-29,-126200,-17.35673,25200,3.47838,151400,20.83511,140518708,6.25
2026-06-26,36000,4.98539,179900,24.97351,143900,19.98812,140471070,6.26
2026-06-25,42800,5.88878,92300,12.76551,49500,6.87673,140381890,6.27
2026-06-24,-85600,-11.70388,40800,5.59776,126400,17.30164,140368099,6.27
2026-06-23,-133700,-18.4916,28400,3.94671,162100,22.43831,140217014,6.3
2026-06-22,-13800,-1.92206,80300,11.23039,94100,13.15245,139895604,6.35
2026-06-19,-151000,-21.00771,181800,25.43964,332800,46.44735,139895604,6.35
2026-06-18,-321400,-44.74586,69300,9.68663,390700,54.43249,139513506,6.42
2026-06-17,2600,0.29936,229000,32.09927,226400,31.79991,139516033,6.42
2026-06-16,-381500,-53.3983,43500,6.12498,425000,59.52328,139513633,6.42
2026-06-15,511500,94.03426,543400,99.912,31900,5.87774,139995683,6.34
