Ticker,LatestDate,LastClose,Ret1dPct,Ret5dPct,Ret20dPct,Ret60dPct,DailyVolume,DailyTradedValue,VolumeRatio20,ValueRatio20,RSI14,ATR14Pct,RealizedVol20dPct,Drawdown60dPct,Pos52wPct,ExcessRet20dVsVNINDEXPct,ExcessRet20dVsVN30Pct,IntradayDate,IntradayLastTimestamp,IntradayLast,IntradayRetFromOpenPct,IntradayVolume,IntradayVolumePctADV20,BidAskSpreadPct,DepthImbalance,PB,ROE
ACB,2026-08-19,21.8,0.6928406466512715,-4.175824175824172,-2.678571428571419,0.40530582166544704,6245800,136158440.0,0.5271191039532245,0.5143385385791258,41.79104477611942,1.9495412844036695,19.582186628963335,-8.210526315789469,46.17559523809525,-6.164274412635251,-5.35140519068209,2026-08-19,2026-08-19 14:45:00+07:00,21.8,0.6928406466512715,6530900.0,55.118033814853405,,0.6222423692958597,,
BID,2026-08-19,35.7,-0.8333333333333304,-2.8254123795524944,-0.4184100418409997,-17.55196304849883,2167600,77383320.0,0.5109823728054408,0.49204899315055667,39.56369512523568,2.792717086834735,39.09380687371739,-17.07317073170731,6.067415730337085,-3.904113025904832,-3.091243803951671,2026-08-19,2026-08-19 14:45:00+07:00,35.7,-0.8333333333333304,2337500.0,55.10339990924146,,0.23930635838150288,,
BSR,2026-08-19,26.7,-1.8382352941176516,0.7547169811320753,16.086956521739125,-5.486725663716818,7311800,195225060.0,0.7834886984343019,0.8162782800542381,56.85119210742671,4.123863028357409,37.50405607925294,-10.252100840336132,50.574712643678154,12.601253537675294,13.414122759628455,2026-08-19,2026-08-19 14:45:00+07:00,26.7,-1.6574585635359074,7553300.0,80.93663921173737,,0.0921077415709173,,
CTG,2026-08-19,31.0,-1.7432646592710044,-3.7267080745341685,5.986529453998424,-12.305516265912308,5840700,181061700.0,0.7037492446747688,0.7025714008620204,55.14018691588786,2.3617511520737327,26.903662290955992,-11.047345767575322,17.218543046357624,2.5008264699345917,3.3136956918877525,2026-08-19,2026-08-19 14:45:00+07:00,31.0,-1.7432646592710044,5785300.0,69.70740673578408,,0.7574072298398696,,
FPT,2026-08-19,68.9,-0.14492753623187582,-2.6836158192090287,6.656346749226016,-5.095111502913263,1821000,125466900.00000001,0.30263387949054105,0.30435191038693665,57.983193277310946,2.456976985278875,34.283853172908195,-9.934640522875815,16.184768820261596,3.1706437651621844,3.983512987115345,2026-08-19,2026-08-19 14:45:00+07:00,68.9,-0.28943560057885787,1824800.0,30.326540543346468,,-0.1002665573098216,,
GAS,2026-08-19,83.7,0.23952095808383866,4.625000000000012,29.96894409937887,2.6993865030674913,1942100,162553770.0,1.3591568230848248,1.5072649272722827,73.58490566037736,3.7122375832053254,48.186240524698334,-4.233409610983985,36.688741721854306,26.48324111531504,27.2961103372682,2026-08-19,2026-08-19 14:45:00+07:00,83.7,0.3597122302158251,1939400.0,135.72672584783015,,-0.4580896686159844,,
GVR,2026-08-19,31.7,-0.9375000000000022,-1.7054263565891459,16.75874769797423,-8.908045977011492,1513300,47971610.0,0.6417048715631918,0.6755657496318631,71.06598984771573,3.6164939161784573,44.799125668543624,-10.829817158931077,33.76594316401879,13.273044713910398,14.085913935863559,2026-08-19,2026-08-19 14:45:00+07:00,31.7,-1.8575851393188736,1511000.0,64.07295717517894,,-0.0617906683480454,,
HDB,2026-08-19,26.7,-0.927643784786647,-1.8382352941176516,3.48837209302324,0.0,7068400,188726280.0,0.7448563469389624,0.7570431405095861,61.363636363636374,2.4344569288389515,23.21959418851372,-3.6101083032490933,59.834469328140216,0.002669108959407751,0.8155383309125686,2026-08-19,2026-08-19 14:45:00+07:00,26.7,-1.1111111111111183,7068400.0,74.48563469389624,,-0.24276778733385457,,
HPG,2026-08-19,21.2,0.952380952380949,-4.072398190045257,2.4154589371980784,-12.215320910973082,15312500,324625000.0,0.6594509575194527,0.6476798257859706,40.9090909090909,2.2911051212938034,26.924213248516114,-12.936344969199187,14.782959279666684,-1.0702440468657537,-0.2573748249125929,2026-08-19,2026-08-19 14:45:00+07:00,21.2,0.4739336492890933,15579200.0,67.09367090538485,,-0.38337899543378995,,
LPB,2026-08-19,50.7,1.4000000000000012,-5.7620817843866075,-6.801470588235281,-6.1111111111111,1255600,63658920.0,0.406447074107091,0.39130341095417354,42.14876033057851,3.3107917723302336,29.353804543835142,-9.464285714285714,64.58248195068794,-10.287173572299114,-9.474304350345953,2026-08-19,2026-08-19 14:45:00+07:00,50.7,0.7952286282306265,1255600.0,40.6447074107091,,0.7318045862412762,,
MBB,2026-08-19,19.95,0.0,-2.444987775061125,-10.738255033557053,-21.456692913385822,5046400,100675680.0,0.3782570708855243,0.34615353773703506,32.08263069139964,3.544575725026853,64.34960944484823,-20.990099009900998,1.0362694300517914,-14.223958017620884,-13.411088795667723,2026-08-19,2026-08-19 14:45:00+07:00,19.95,0.0,5046200.0,37.82420797206984,,0.3389557969349916,,
MSN,2026-08-19,66.4,-0.5988023952095634,-1.1904761904761862,3.912363067292657,-13.202614379084965,3507000,232864800.00000003,0.9102383870731511,0.9089866764129925,42.990654205607505,2.140705679862305,23.95849556714981,-12.052980132450319,14.55108359133128,0.42666008322882476,1.2395293051819856,2026-08-19,2026-08-19 14:45:00+07:00,66.4,-0.4497751124437732,3504100.0,90.94856949367062,,-0.9737335834896811,,
MWG,2026-08-19,72.2,-0.8241758241758212,-2.43243243243243,3.8550057537399374,-9.749999999999993,1995300,144060660.0,0.4507015351341984,0.4660986558933243,60.526315789473706,2.690937870993273,44.7488388530631,-9.749999999999993,32.43243243243244,0.3693027696761053,1.1821719916292661,2026-08-19,2026-08-19 14:45:00+07:00,72.2,-0.687757909215958,1997200.0,45.11307101538721,,0.5737425404944586,,
PLX,2026-08-19,38.1,0.39525691699604515,3.9563437926330325,16.335877862595428,-3.4220532319391705,5382400,205069440.0,1.9215378929136042,2.059351040669484,65.34074501876987,3.907574053243342,50.13357774302744,-9.285714285714286,16.10389610389611,12.850174878531597,13.663044100484758,2026-08-19,2026-08-19 14:45:00+07:00,38.1,-1.8041237113401998,5374500.0,191.8717561954549,,0.14824797843665768,,
SAB,2026-08-19,45.9,-0.8639308855291516,-0.8639308855291516,4.493921595410466,-3.874345549738223,445500,20448450.0,0.5616405552135214,0.5731375118298777,62.755102040816325,2.163087457205103,25.194737475072078,-6.5173116089613075,25.581395348837212,1.008218611346634,1.8210878332997948,2026-08-19,2026-08-19 14:45:00+07:00,45.9,-0.6493506493506551,445500.0,56.16405552135214,,-0.4314002828854314,,
SHB,2026-08-19,11.5,-0.8620689655172376,-2.9535864978902926,-1.7094017094017033,-17.85714285714286,49190900,565695350.0,0.9183096227040397,0.9009168824584637,42.424242424242436,2.422360248447204,31.10442301956989,-17.85714285714286,4.95662949194548,-5.195104693465535,-4.382235471512375,2026-08-19,2026-08-19 14:45:00+07:00,11.5,-0.8620689655172376,49193100.0,91.83506929257668,,0.28129155585106386,,
SSB,2026-08-19,15.05,0.0,-2.5889967637540368,-3.83386581469648,1.3331537840021612,2401800,36147090.0,1.1413994461090446,1.119531039795433,34.37499999999994,2.0882771713336488,14.479457509434187,-8.787878787878789,27.882696146169213,-7.3195687987603115,-6.506699576807151,2026-08-19,2026-08-19 14:45:00+07:00,15.05,-0.3311258278145601,2401800.0,114.13994461090446,,-0.8652423993426458,,
SSI,2026-08-19,19.4,-0.5128205128205221,-4.064879833844337,-14.348785871964676,-30.46594982078853,11085700,215062579.99999997,0.5427832864640061,0.4707571436328643,24.081586657651584,4.610456553755525,81.27711796553078,-29.963898916967512,0.9880446596186112,-17.834488856028507,-17.021619634075346,2026-08-19,2026-08-19 14:45:00+07:00,19.4,-0.5128205128205221,11118100.0,54.43696705878263,,-0.5595044247787611,,
STB,2026-08-19,74.8,-0.5319148936170248,0.9446693657219951,5.352112676056331,9.516837481698381,4934700,369115560.0,1.4821825643614583,1.5119638008847105,62.30769230769233,2.482811306340718,25.423385044235868,-0.5319148936170248,93.51701782820098,1.8664096919924988,2.6792789139456596,2026-08-19,2026-08-19 14:45:00+07:00,74.8,-0.6640106241699861,4934700.0,148.21825643614582,,0.22330097087378642,,
TCB,2026-08-19,31.0,0.4862236628849326,-1.5873015873015928,6.896551724137923,-7.875185735512624,8372700,259553700.0,0.5430404944103935,0.5555871944032803,62.318840579710134,2.569124423963135,32.73270654131478,-9.620991253644306,24.190290971650846,3.4108487400740906,4.223717962027251,2026-08-19,2026-08-19 14:45:00+07:00,31.0,1.1419249592169667,8373200.0,54.30729236443569,,0.32420465726467695,,
TPB,2026-08-19,14.5,1.0452961672473782,-1.3605442176870652,2.8368794326241176,-10.769230769230765,7658000,111041000.0,0.9334866560989753,0.940322331214592,52.38095238095237,2.1428571428571455,21.06304268298896,-13.432835820895528,9.416195856873824,-0.6488235514397145,0.16404567051344632,2026-08-19,2026-08-19 14:45:00+07:00,14.5,1.0452961672473782,7658000.0,93.34866560989752,,0.01815336463223787,,
VCB,2026-08-19,57.4,-1.0344827586206917,-3.8525963149078746,6.201894612196557,-10.59190031152648,3770600,216432440.0,0.7955379070827294,0.78385529023328,54.36893203883495,2.4390243902438993,26.494648413968765,-8.888888888888891,18.320610687022892,2.7161916281327247,3.5290608500858855,2026-08-19,2026-08-19 14:45:00+07:00,57.4,-1.0344827586206917,3767400.0,79.48627568937238,,0.6283815851922164,,
VHM,2026-08-19,69.1,-0.14450867052023808,-6.368563685636863,-45.547675334909385,-51.31951587223311,2613600,180599760.0,0.38501012231473725,0.3001295129394817,7.080610021786484,12.585280132313418,185.49844757205963,-55.70683178852096,2.4928206764518186,-49.03337831897322,-48.220509097020056,2026-08-19,2026-08-19 14:45:00+07:00,69.1,-0.4322766570605374,2628100.0,38.714612123330305,,0.09323729491796719,,
