t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1782958500,23.5,23.55,23.5,23.5,163600,2026-07-02,,,,,,,,,HPG,2026-07-02 09:15:00+07:00,2026-07-02,555,1,,163600.0,3844600.0,163600.0,3844600.0,23.5,0.0,0.0
1782958560,23.5,23.55,23.5,23.55,17800,2026-07-02,,,,,,,,,HPG,2026-07-02 09:16:00+07:00,2026-07-02,556,2,0.21276595744681437,17800.0,419190.0,181400.0,4263790.0,23.504906284454243,0.19184809758454602,0.21276595744681437
1782958620,23.55,23.6,23.55,23.6,425300,2026-07-02,,,,,,,,,HPG,2026-07-02 09:17:00+07:00,2026-07-02,557,3,0.2123142250530785,425300.0,10037080.0,606700.0,14300870.0,23.57156749629141,0.12062203208615951,0.42553191489362874
1782958680,23.6,23.6,23.55,23.6,40600,2026-07-02,,,,,,,,,HPG,2026-07-02 09:18:00+07:00,2026-07-02,558,4,0.0,40600.0,958160.0,647300.0,15259030.0,23.573350841958906,0.11304781496597194,0.42553191489362874
1782958740,23.6,23.6,23.6,23.6,22600,2026-07-02,,,,,,,,,HPG,2026-07-02 09:19:00+07:00,2026-07-02,559,5,0.0,22600.0,533360.0,669900.0,15792390.0,23.574249888042992,0.109229825251278,0.42553191489362874
1782958800,23.65,23.65,23.6,23.65,51700,2026-07-02,,,,,,,,,HPG,2026-07-02 09:20:00+07:00,2026-07-02,560,6,0.21186440677964935,51700.0,1222705.0,721600.0,17015095.0,23.579677106430154,0.29823518469922483,0.6382978723404209
1782958860,23.6,23.6,23.55,23.6,19100,2026-07-02,,,,,,,,,HPG,2026-07-02 09:21:00+07:00,2026-07-02,561,7,-0.21141649048624922,19100.0,450760.0,740700.0,17465855.0,23.580201161063858,0.08396382541822067,0.42553191489362874
1782958920,23.6,23.6,23.6,23.6,6500,2026-07-02,,,,,,,,,HPG,2026-07-02 09:22:00+07:00,2026-07-02,562,8,0.0,6500.0,153400.0,747200.0,17619255.0,23.580373394004283,0.0832328041111774,0.42553191489362874
1782958980,23.6,23.6,23.55,23.6,20000,2026-07-02,,,,,,,,,HPG,2026-07-02 09:23:00+07:00,2026-07-02,563,9,0.0,20000.0,472000.0,767200.0,18091255.0,23.58088503649635,0.08106126413010006,0.42553191489362874
1782959040,23.6,23.6,23.55,23.6,8500,2026-07-02,,,,,,,,,HPG,2026-07-02 09:24:00+07:00,2026-07-02,564,10,0.0,8500.0,200600.0,775700.0,18291855.0,23.581094495294572,0.08017229526475766,0.42553191489362874
