SnapshotDate,Ticker,HorizonMonths,HorizonDays,ForecastWindow,BaseClose,Variant,Model,EvalRows,PeakRetMAEPct,PeakDayMAE,DrawdownMAEPct,SelectionScore,PredPeakRetPct,PredPeakDays,PredPeakPrice,PredDrawdownPct,PredDrawdownPrice
2026-04-16,NVL,1,21,1M,17.0,recent_focus,hist_gbm,40,7.730566873065714,5.800703305362967,6.644349895832161,11.92284731678624,5.2602491145063075,6.3,17.894242349466072,-7.946823338954352,15.64904003237776
2026-04-16,VNINDEX,1,21,1M,1819.83,recent_focus,ridge,40,3.4777801699628896,7.168478893619131,4.228737521986742,6.667420764999131,4.1434509552702465,10.9,1895.2337635192944,-1.686514138812264,1789.1383097476526
