Ticker,Horizon,FeatureSet,Model,EvalRows,CloseMAEPct,RangeMAEPct,CumHighMAEPct,CumLowMAEPct,CumUpsideMissMAEPct,CumDownsideMissMAEPct,CloseDirHitPct,SelectionScore
VIC,1,baseline_ohlc,hist_gbm,425,2.327311673181741,1.6787105939345095,1.80267515224929,1.5220334722760969,0.8726720549638907,0.7440140798311723,47.76470588235294,4.694503374956431
VIC,1,index_expiry_exvin,hist_gbm,425,2.342060175810591,1.7012526871253844,1.837294135993326,1.5207815589878688,0.8641274575915624,0.7694105166164606,46.11764705882353,4.754757133713427
VIC,2,baseline_ohlc,hist_gbm,424,3.7158202778838776,1.7526162034154116,2.839984633975912,2.166947465381763,1.4525618796062525,1.0714694800218878,48.58490566037736,7.362957618800976
VIC,2,index_expiry_exvin,hist_gbm,424,3.864254616774211,1.7697412333266929,2.914264811226456,2.1442059633306676,1.399706091954555,1.1015152185539134,48.113207547169814,7.51772370401502
VIC,3,baseline_ohlc,hist_gbm,423,5.064205204564217,1.8173516095626083,3.743744718630997,2.691207980355891,1.851058274591281,1.2979660811723566,49.1725768321513,9.68902407894876
VIC,3,index_expiry_exvin,hist_gbm,423,5.131355929979594,1.806740080667264,3.8417033388139825,2.5941058634955194,1.805714594176456,1.3716565964993277,53.664302600472816,9.730711533091512
VIC,5,baseline_ohlc,hist_gbm,421,6.883388472510449,1.823616614572923,5.2471413993448985,3.216756021101318,2.755946648207313,1.5639316069721148,52.96912114014252,13.152881787737618
VIC,5,index_expiry_exvin,hist_gbm,421,7.0380670340726335,1.8417958694476044,5.407336704768098,3.124908899693358,2.7098377783759178,1.712841504757754,53.681710213776725,13.400353851480416
VIC,10,baseline_ohlc,hist_gbm,416,9.885309091919355,2.130032732253392,8.416547888867864,4.115589416290409,4.433171910519904,2.015545443308394,62.5,19.39473957246622
VIC,10,index_expiry_exvin,hist_gbm,416,10.250672127893257,2.04633157480574,8.675047165582479,4.024371217767685,4.523546184798106,2.2761370172845954,63.942307692307686,20.03923198862777
VIC,15,index_expiry_exvin,hist_gbm,411,12.545969324236571,2.205505744114346,11.016043014968211,4.374371364234131,5.8879431871601895,2.6324459802293037,66.66666666666666,24.811137603425788
VIC,15,baseline_ohlc,hist_gbm,411,12.326065655646593,2.294001671628896,11.260317339730811,4.578181234168276,6.117245316413002,2.4560352919514337,66.90997566909975,24.85877162669425
VIC,20,baseline_ohlc,hist_gbm,406,15.554085063531586,2.4890402465757178,13.525692140024931,4.919757459269818,7.363837003422786,2.660582011240527,73.15270935960592,30.311752913925787
VIC,20,index_expiry_exvin,hist_gbm,406,15.697330281301063,2.3872967065106168,13.96993668159514,4.591002233942709,7.1949716208231,2.7914199450076227,75.61576354679804,30.433228038283765
