Date,Ticker,Horizon,ForecastWindow,BaseClose,ForecastDate,ActualClose,TargetCloseRetPct,EvalKind,FeatureSet,Model,Objective,UsedFeatureCount,TrainRows,TrainEndDate,PredCloseRetPct,PredClose,PredUpProb,PredDirectionUp,ActualDirectionUp,DirectionHit,CloseAbsErrPct
2026-02-27,VIC,1,T+1,172.0,2026-03-02,167.2,-2.7906976744186074,walkback,baseline_ohlc,ridge_close_ret,price,161,460,2026-02-26,1.5600976862240126,174.6833680203053,,True,False,False,4.3507953606426195
2026-03-06,VIC,1,T+1,156.5,2026-03-09,145.6,-6.964856230031957,walkback,baseline_ohlc,ridge_close_ret,price,161,465,2026-03-05,0.5925114110663015,157.42728035831877,,True,False,False,7.557367641098258
2026-03-13,VIC,1,T+1,144.6,2026-03-16,144.7,0.069156293222683,walkback,baseline_ohlc,ridge_close_ret,price,161,470,2026-03-12,-0.1281912632508706,144.41463543333924,,False,True,False,0.1973475564735536
2026-03-20,VIC,1,T+1,135.0,2026-03-23,125.6,-6.962962962962971,walkback,baseline_ohlc,ridge_close_ret,price,161,475,2026-03-19,-2.839019465630391,131.167323721399,,False,False,True,4.123943497332579
2026-03-27,VIC,1,T+1,132.6,2026-03-30,129.5,-2.337858220211153,walkback,baseline_ohlc,ridge_close_ret,price,161,480,2026-03-26,2.35696727101057,135.72533860136002,,True,False,False,4.694825491221723
2026-04-03,VIC,1,T+1,141.0,2026-04-06,141.6,0.4255319148936065,walkback,baseline_ohlc,ridge_close_ret,price,161,485,2026-04-02,-2.2453878513616035,137.83400312958014,,False,True,False,2.67091976625521
2026-04-10,VIC,1,T+1,151.7,2026-04-13,160.0,5.4713249835201205,walkback,baseline_ohlc,ridge_close_ret,price,161,490,2026-04-09,1.7317396909454923,154.32704911116429,,True,True,True,3.739585292574628
2026-04-17,VIC,1,T+1,187.9,2026-04-20,191.0,1.6498137307078276,walkback,baseline_ohlc,ridge_close_ret,price,161,495,2026-04-16,-1.409919708574992,185.2507608675876,,False,True,False,3.0597334392828195
2026-04-24,VIC,1,T+1,212.1,2026-04-28,225.5,6.317774634606321,walkback,baseline_ohlc,ridge_close_ret,price,161,500,2026-04-23,2.3308080806659093,217.04364393909236,,True,True,True,3.986966553940412
2026-05-06,VIC,1,T+1,219.5,2026-05-07,224.0,2.05011389521641,walkback,baseline_ohlc,ridge_close_ret,price,161,505,2026-05-05,2.994725707787106,226.07342292859272,,True,True,True,0.9446118125706962
2026-05-13,VIC,1,T+1,221.0,2026-05-14,229.8,3.981900452488696,walkback,baseline_ohlc,ridge_close_ret,price,161,510,2026-05-12,-3.331152975583859,213.63815192395967,,False,True,False,7.313053428072555
2026-05-20,VIC,1,T+1,226.7,2026-05-21,218.7,-3.528892809880902,walkback,baseline_ohlc,ridge_close_ret,price,161,515,2026-05-19,-0.7335680283852184,225.0370012796507,,False,False,True,2.795324781495683
2026-05-27,VIC,1,T+1,210.8,2026-05-28,210.8,0.0,walkback,baseline_ohlc,ridge_close_ret,price,161,520,2026-05-26,-0.8964226059157137,208.91034114672968,,False,False,True,0.8964226059157137
2026-06-03,VIC,1,T+1,197.6,2026-06-04,200.2,1.3157894736842035,walkback,baseline_ohlc,ridge_close_ret,price,161,525,2026-06-02,-0.7755493104736259,196.06751456250413,,False,True,False,2.0913387841578293
2026-06-10,VIC,1,T+1,196.0,2026-06-11,196.0,0.0,walkback,baseline_ohlc,ridge_close_ret,price,161,530,2026-06-09,-1.108222107375456,193.82788466954412,,False,False,True,1.108222107375456
2026-06-17,VIC,1,T+1,192.0,2026-06-18,205.4,6.97916666666667,walkback,baseline_ohlc,ridge_close_ret,price,161,535,2026-06-16,-0.6274924737733778,190.7952144503551,,False,True,False,7.606659140440048
2026-02-27,VIC,2,T+2,172.0,2026-03-03,155.5,-9.593023255813948,walkback,baseline_ohlc,ridge_close_ret,price,161,460,2026-02-26,1.8617725340067264,175.20224875849155,,True,False,False,11.454795789820675
2026-03-06,VIC,2,T+2,156.5,2026-03-10,141.8,-9.392971246006388,walkback,baseline_ohlc,ridge_close_ret,price,161,465,2026-03-05,-1.3775394704158548,154.34415072879918,,False,False,True,8.015431775590534
2026-03-13,VIC,2,T+2,144.6,2026-03-17,146.2,1.1065006915629283,walkback,baseline_ohlc,ridge_close_ret,price,161,470,2026-03-12,2.24207960218733,147.84204710476286,,True,True,True,1.135578910624402
2026-03-20,VIC,2,T+2,135.0,2026-03-24,124.0,-8.148148148148149,walkback,baseline_ohlc,ridge_close_ret,price,161,475,2026-03-19,-4.13921831715014,129.41205527184732,,False,False,True,4.008929830998008
2026-03-27,VIC,2,T+2,132.6,2026-03-31,135.0,1.8099547511312153,walkback,baseline_ohlc,ridge_close_ret,price,161,480,2026-03-26,8.345346434468212,143.66592937210484,,True,True,True,6.5353916833369965
2026-04-03,VIC,2,T+2,141.0,2026-04-07,143.4,1.7021276595744703,walkback,baseline_ohlc,ridge_close_ret,price,161,485,2026-04-02,-1.4447214157987562,138.96294280372376,,False,True,False,3.146849075373227
2026-04-10,VIC,2,T+2,151.7,2026-04-14,165.5,9.096901779828626,walkback,baseline_ohlc,ridge_close_ret,price,161,490,2026-04-09,5.801428928888365,160.50076768512366,,True,True,True,3.2954728509402607
2026-04-17,VIC,2,T+2,187.9,2026-04-21,193.7,3.086748270356554,walkback,baseline_ohlc,ridge_close_ret,price,161,495,2026-04-16,-1.1187076657045394,185.79794829614116,,False,True,False,4.205455936061093
2026-04-24,VIC,2,T+2,212.1,2026-04-29,214.0,0.8958038661009082,walkback,baseline_ohlc,ridge_close_ret,price,161,500,2026-04-23,1.3619429828457803,214.9886810666159,,True,True,True,0.4661391167448723
2026-05-06,VIC,2,T+2,219.5,2026-05-08,226.0,2.9612756264236983,walkback,baseline_ohlc,ridge_close_ret,price,161,505,2026-05-05,2.0618133240483285,224.0256802462861,,True,True,True,0.8994623023753698
2026-05-13,VIC,2,T+2,221.0,2026-05-15,228.0,3.167420814479649,walkback,baseline_ohlc,ridge_close_ret,price,161,510,2026-05-12,-4.738557259537487,210.52778845642217,,False,True,False,7.905978074017136
2026-05-20,VIC,2,T+2,226.7,2026-05-22,216.5,-4.499338332598146,walkback,baseline_ohlc,ridge_close_ret,price,161,515,2026-05-19,-3.197690905435977,219.45083471737664,,False,False,True,1.3016474271621696
2026-05-27,VIC,2,T+2,210.8,2026-05-29,211.3,0.2371916508538962,walkback,baseline_ohlc,ridge_close_ret,price,161,520,2026-05-26,-1.781677974141047,207.04422283051068,,False,True,False,2.0188696249949434
2026-06-03,VIC,2,T+2,197.6,2026-06-05,207.0,4.757085020242924,walkback,baseline_ohlc,ridge_close_ret,price,161,525,2026-06-02,0.1177279379946544,197.83263040547743,,True,True,True,4.639357082248269
2026-06-10,VIC,2,T+2,196.0,2026-06-12,195.5,-0.255102040816324,walkback,baseline_ohlc,ridge_close_ret,price,161,530,2026-06-09,0.2214254071510651,196.43399379801608,,True,False,False,0.4765274479673892
2026-06-17,VIC,2,T+2,192.0,2026-06-19,205.5,7.03125,walkback,baseline_ohlc,ridge_close_ret,price,161,535,2026-06-16,0.6867528182703501,193.31856541107908,,True,True,True,6.34449718172965
2026-02-27,VIC,3,T+3,172.0,2026-03-04,155.6,-9.534883720930232,walkback,baseline_ohlc,ridge_close_ret,price,161,460,2026-02-26,-0.8708654127481561,170.50211149007316,,False,False,True,8.664018308182076
2026-03-06,VIC,3,T+3,156.5,2026-03-11,146.0,-6.709265175718848,walkback,baseline_ohlc,ridge_close_ret,price,161,465,2026-03-05,-0.5227506716996977,155.68189519878996,,False,False,True,6.18651450401915
2026-03-13,VIC,3,T+3,144.6,2026-03-18,146.0,0.9681881051175624,walkback,baseline_ohlc,ridge_close_ret,price,161,470,2026-03-12,1.721878825664868,147.08983678191137,,True,True,True,0.7536907205473058
