SnapshotDate,Ticker,HorizonMonths,HorizonDays,ForecastWindow,BaseClose,Variant,Model,EvalRows,PeakRetMAEPct,PeakDayMAE,DrawdownMAEPct,SelectionScore,PredPeakRetPct,PredPeakDays,PredPeakPrice,PredDrawdownPct,PredDrawdownPrice
2026-04-16,NVL,1,21,1M,17.05,recent_focus,hist_gbm,40,7.730566873065714,5.800703305362967,6.6516173376926275,11.926481037716472,4.918993200857545,6.5,17.88868834074621,-8.415086809017698,15.615227699062482
2026-04-16,VNINDEX,1,21,1M,1818.96,recent_focus,ridge,40,3.481510291225247,7.168478893619131,4.228737521986742,6.671150886261488,3.395971780928119,12.3,1880.73136830637,-0.6072262201992515,1807.914797945064
