TradeDate,SnapshotDate,SnapshotTs,SnapshotTimeBucket,Ticker,PrevClose,Base,SnapshotRetFromPrevClosePct,FeatureSet,Model,UsedFeatureCount,PredTargetLowRetPct,PredTargetCloseRetPct,PredTargetHighRetPct,PredLow,PredClose,PredHigh
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,ACB,22.65,22.55,-0.44150110375275053,price_volume_core,ridge,81,1.6814424851422292,0.02704616804619555,-1.0843231711195709,22.929165280399577,22.556098910894416,22.305485124912536
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,BID,42.4,42.75,0.8254716981132004,price_volume_core,ridge,81,1.4618048797142786,0.6158961776277804,-0.3748268392599553,43.37492158607785,43.013295615935874,42.58976152621637
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,BSR,24.15,25.15,4.140786749482395,price_volume_core,ridge,81,-0.057648381456659736,0.8396132183216767,1.0847711166588594,25.13550143206365,25.361162724407897,25.4228199358397
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,CTG,33.95,34.25,0.8836524300441795,price_volume_core,ridge,81,1.892889461440817,-0.050846975796617906,-1.3957132701763206,34.89831464054348,34.23258491078966,33.77196820496461
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,FPT,70.2,70.9,0.9971509971510084,price_volume_core,ridge,81,1.1961189005755157,0.4726795168849779,-0.20361723871226534,71.74804830050805,71.23512977747146,70.75563537775301
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,GAS,77.4,78.6,1.5503875968992054,price_volume_core,ridge,81,0.9756350527689656,0.2609554567866918,-0.48242303585002266,79.3668491514764,78.80511098903433,78.22081549382187
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,GVR,32.8,32.95,0.45731707317075987,price_volume_core,ridge,81,1.4786058930786221,0.17834989288154815,-0.9036901859289036,33.43720064176941,33.008766289704475,32.65223408373643
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,HDB,25.85,26.5,2.5145067698259194,price_volume_core,ridge,81,1.1263327135845138,1.017559729895266,0.27617801222913385,26.798478169099894,26.769653328422244,26.573187173240722
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,HPG,23.3,23.45,0.6437768240343367,price_volume_core,ridge,81,1.8061122380052015,0.3247708041872003,-0.9208564808468459,23.873533319812218,23.5261587535819,23.234059155241415
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,LPB,53.5,53.6,0.18691588785046953,price_volume_core,ridge,81,1.7873978156977728,-0.38655835218479295,-1.7274000805687728,54.558045229214,53.39280472322895,52.674113556815136
2026-07-01 00:00:00+07:00,2026-07-01,2026-07-01 10:23:00+07:00,AM_EARLY,MBB,25.2,25.7,1.984126984126977,price_volume_core,ridge,81,0.9149114624905076,1.0553462799519913,0.7289467545624929,25.935132245860057,25.97122399394766,25.88733931592256
