Ticker,EngineRunAt,Sector,IsVN30,Last,Ref,ChangePct,SMA20,SMA50,SMA200,EMA20,RSI14,ATR14,ATR14Pct,Vol20Pct,Vol60Pct,MACD,MACDSignal,Beta60_Index,Corr60_Index,Z20,Ret5d,Ret20d,Ret60d,IntradayVol_shares,IntradayValue_kVND,IntradayPctADV20,ADTV20_shares,ADTV20Rank,ADTV20PctRank,High52w,Low52w,Ceil,Floor,TickSize,LotSize,OneLotATR_kVND,FloorValid,CeilValid,ValidBid1,ValidAsk1,TicksToFloor,TicksToCeil,SlippageOneTickPct,DistRefPct,DistSMA20Pct,DistSMA50Pct,Pos52wPct,GridBelow_T1,GridBelow_T2,GridBelow_T3,GridAbove_T1,GridAbove_T2,GridAbove_T3,PE_fwd,PB,ROE,CoMoveWithIndex20Pct,Corr20_Index,Beta20_Index,Ret20dVsIndex,Ret60dVsIndex,RelStrength20Rank,RelStrength60Rank,SectorBreadthAboveSMA20Pct,SectorBreadthAboveSMA50Pct,SectorBreadthPositive5dPct,SectorADTVRank,Ret20dVsSector,Ret60dVsSector,VNINDEX_ATR14PctRank
VNINDEX,2026-07-01T10:19:10.430267+07:00,,0,1866.4,1860.01,0.3435465400723814,1829.5194999999999,1858.9298000000001,1760.5644999999997,1845.7924986653454,54.87509217459387,27.536580840874134,1.4753847428672382,0.9223966125379047,1.029945034557038,5.351178091099655,-0.46014586026720095,0.9999999999999998,1.0,1.2230555631707805,-0.4831357274322601,1.8363290938257837,9.746757767786551,117308335.0,218678110590.36,0.23017738367471113,509643185.3,1.0,100.0,1933.11,1360.78,1990.2,1729.9,0.1,100,2753.6580840874135,True,True,1866.3,1866.5,1365.0,1238.0,0.005357908272610372,0.3435465400723814,2.0158571690545024,0.40185487370205664,0.8834413712368742,1866.3,1866.2,1866.1,1866.5,1866.6,1866.7,,,,,,,0.0,0.0,,,,,,,,,16.727272727272727
VIC,2026-07-01T10:19:10.430267+07:00,Bất động sản,1,220.0,220.0,0.0,206.975,211.93400000000003,150.39375,212.85602619577458,57.30058954688557,9.645594052084462,4.384360932765665,3.322159712275932,3.1311693602195616,5.070434009897696,2.9876297319617717,1.5617407317401215,0.5936526391497511,0.9349404594388843,-3.9301310043668103,7.369448511469012,57.25518227305217,146200.0,32109080.0,0.04173794877394776,3502807.5,1.0,100.0,242.0,45.5,235.4,204.7,0.1,100,964.5594052084462,True,True,219.9,220.1,153.0,154.0,0.045454545454545456,0.0,6.293030559246282,3.805901837364445,0.8880407124681934,219.9,219.8,219.7,220.1,220.2,220.3,,,,80.0,0.8766778366232086,3.053679532062963,5.533119417643229,47.50842450526562,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,16.727272727272727
