Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-02-13,416500,11.61331,1283900,35.837405,-867400,-24.224095
2026-02-12,355400,9.876005,398900,11.081955,-43500,-1.20595
2026-02-11,844700,23.17295,284133,7.746689,560567,15.426261
2026-02-10,602800,16.12008,804100,21.42923,-201300,-5.30915
2026-02-09,515900,13.76724,137900,3.683025,378000,10.084215
2026-02-06,1026500,27.329535,1276000,34.1864,-249500,-6.856865
2026-02-05,331900,9.12483,820400,22.635975,-488500,-13.511145
2026-02-04,753000,20.56626,758900,20.726375,-5900,-0.160115
2026-02-03,521400,14.433895,3976101,112.207706,-3454701,-97.773811
2026-02-02,467000,12.924715,638645,17.723798,-171645,-4.799083
2026-01-30,2930100,82.86369,195300,5.509515,2734800,77.354175
2026-01-29,919300,25.77547,91400,2.57684,827900,23.19863
2026-01-28,832500,23.78939,209200,5.97809,623300,17.8113
2026-01-27,1309600,36.694065,258100,7.272425,1051500,29.42164
2026-01-26,524300,15.09785,438100,12.57691,86200,2.52094
2026-01-23,882500,25.56528,194700,5.629195,687800,19.936085
2026-01-22,588100,17.238775,343300,10.023295,244800,7.21548
2026-01-21,539301,15.674677,854300,24.836555,-314999,-9.161878
2026-01-20,1166200,34.05144,978700,28.3977,187500,5.65374
2026-01-19,163401,4.702975,397927,11.424125,-234526,-6.72115
2026-01-16,842200,24.199105,700000,20.1055,142200,4.093605
2026-01-15,927200,25.33962,709800,19.450135,217400,5.889485
2026-01-14,222800,6.22202,1308500,36.69629,-1085700,-30.47427
2026-01-13,565000,15.911835,825200,23.253565,-260200,-7.34173
2026-01-12,976800,27.374415,747400,20.85405,229400,6.520365
2026-01-09,1156600,32.70604,830800,23.39348,325800,9.31256
2026-01-08,582475,16.666475,372775,10.637195,209700,6.02928
2026-01-07,551800,15.751565,499400,14.364685,52400,1.38688
2026-01-06,1228400,35.11307,115100,3.306235,1113300,31.806835
2026-01-05,984500,2812051010.4401197,364100,0.0,620400,2812051010.4401197
2025-12-31,161600,4.62529,270000,7.743445,-108400,-3.118155
2025-12-30,401500,11.02924,127400,3.514073,274100,7.515167
2025-12-29,71500,1.955195,165200,4.53167,-93700,-2.576475
2025-12-26,286500,7.792225,103100,2.81661,183400,4.975615
2025-12-25,260700,7.125005,84500,2.31547,176200,4.809535
2025-12-24,281100,7.748625,272400,7.54789,8700,0.200735
2025-12-23,355800,9.782585,405700,11.143985,-49900,-1.3614
2025-12-22,275900,7.364465,83500,2.234,192400,5.130465
2025-12-19,309300,7.982805,313200,8.09905,-3900,-0.116245
2025-12-18,598200,15.204045,131900,3.354635,466300,11.84941
2025-12-17,118700,3.82245,170000,5.45245,-51300,-1.63
2025-12-16,450000,14.18317,443500,13.496505,6500,0.686665
2025-12-15,171100,5.14944,319300,9.62988,-148200,-4.48044
2025-12-12,194400,6.10164,299100,9.29615,-104700,-3.19451
2025-12-11,313200,9.94752,349900,11.10098,-36700,-1.15346
2025-12-10,250900,8.088805,205800,6.584645,45100,1.50416
2025-12-09,533900,17.00231,327400,10.481535,206500,6.520775
2025-12-08,139600,4.54612,93800,3.05428,45800,1.49184
2025-12-05,147500,4.81392,177800,5.80743,-30300,-0.99351
2025-12-04,781900,25.51897,85900,2.799663,696000,22.719307
2025-12-03,134700,4.33748,1668400,53.4947,-1533700,-49.15722
2025-12-02,89000,2.777845,642200,20.00548,-553200,-17.227635
2025-12-01,111700,3.52557,1176501,37.12532,-1064801,-33.59975
2025-11-28,129300,4.084505,1985201,62.89123,-1855901,-58.806725
2025-11-27,62000,1.97039,380700,12.201015,-318700,-10.230625
2025-11-26,371400,11.840075,51900,1.672985,319500,10.16709
2025-11-25,190100,6.05025,1802000,57.482935,-1611900,-51.432685
2025-11-24,436800,13.73396,122500,3.86052,314300,9.87344
2025-11-21,269600,8.401515,1141200,35.527075,-871600,-27.12556
2025-11-20,110600,3.50487,261200,8.25683,-150600,-4.75196
2025-11-19,256200,7.89059,604800,18.49611,-348600,-10.60552
2025-11-18,149400,4.511785,2309701,69.698918,-2160301,-65.187133
2025-11-17,164800,4.950515,345800,10.386405,-181000,-5.43589
2025-11-14,134800,4.00564,301700,8.994755,-166900,-4.989115
2025-11-13,176500,35.21001,483900,14.46837,-307400,20.74164
2025-11-12,355900,10.59706,499401,14.889573,-143501,-4.292513
2025-11-11,366300,10.740745,747800,22.07126,-381500,-11.330515
2025-11-10,262000,7.73106,165400,4.874135,96600,2.856925
2025-11-07,315200,9.312035,1983400,58.758095,-1668200,-49.44606
2025-11-06,286700,8.689545,845900,25.72154,-559200,-17.031995
2025-11-05,168500,5.25476,358600,11.13243,-190100,-5.87767
2025-11-04,582900,17.578035,3457700,104.07794,-2874800,-86.499905
2025-11-03,777700,24.457965,334600,10.326485,443100,14.13148
2025-10-31,429200,13.980375,207000,6.687185,222200,7.29319
2025-10-30,588400,19.932345,1029500,35.01729,-441100,-15.084945
2025-10-29,380600,12.82911,1339100,44.95754,-958500,-32.12843
2025-10-28,663901,20.80476,628729,19.841365,35172,0.963395
2025-10-27,220500,7.04505,1029700,32.8624,-809200,-25.81735
2025-10-24,904400,29.10852,475100,15.3585,429300,13.75002
2025-10-23,1576400,52.990925,5284400,166.06827,-3708000,-113.077345
2025-10-22,299400,9.593625,987700,31.506065,-688300,-21.91244
2025-10-21,5749100,179.921965,746800,23.26903,5002300,156.652935
2025-10-20,752300,23.81434,284400,8.89571,467900,14.91863
2025-10-17,294200,9.740545,583300,19.252515,-289100,-9.51197
2025-10-16,409300,13.567385,601400,19.93364,-192100,-6.366255
2025-10-15,350300,11.57317,261901,8.68653,88399,2.88664
2025-10-14,524601,17.26632,1485330,48.4731,-960729,-31.20678
2025-10-13,5948500,30.660685,155710400,28.346305,-149761900,2.31438
2025-10-10,708201,22.549325,981429,31.23462,-273228,-8.685295
2025-10-09,534200,16.895095,1120400,35.418075,-586200,-18.52298
2025-10-08,566300,17.715635,1532400,47.92575,-966100,-30.210115
2025-10-07,479000,15.013845,376000,11.762635,103000,3.25121
2025-10-06,5820800,180.551815,733300,22.571205,5087500,157.98061
2025-10-03,787600,23.929555,604900,18.39528,182700,5.534275
2025-10-02,544300,16.83577,39880013700,12.33816,-39879469400,4.49761
2025-10-01,1433100,44.426575,394800,12.21715,1038300,32.209425
2025-09-30,535600,16.45674,535000,16.47102,600,-0.01428
2025-09-29,429800,13.271445,627000,19.044085,-197200,-5.77264
2025-09-26,403400,12.267,518800,15.834085,-115400,-3.567085
2025-09-25,195200,6.06386,228100,7.10177,-32900,-1.03791
2025-09-24,649700,19.37498,706640,20.607347,-56940,-1.232367
2025-09-23,292300,8.432385,400800,11.640075,-108500,-3.20769
2025-09-22,752000,22.05721,195600,5.770725,556400,16.286485
