Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-02-13,586400,22.262015,761900,28.980335,-175500,-6.71832
2026-02-12,842100,32.09375,527800,20.076335,314300,12.017415
2026-02-11,1433500,54.21418,441200,16.74223,992300,37.47195
2026-02-10,1184400,43.936895,694604,25.709443,489796,18.227452
2026-02-09,1235600,46.08419,602600,22.482555,633000,23.601635
2026-02-06,995700,37.74971,959600,36.579395,36100,1.170315
2026-02-05,175500,6.835595,540600,20.973065,-365100,-14.13747
2026-02-04,1010000,39.831745,319200,12.61917,690800,27.212575
2026-02-03,2137700,85.022445,393006,15.592545,1744694,69.4299
2026-02-02,1853000,72.844765,1054973,41.322259,798027,31.522506
2026-01-30,691700,26.566265,462719,17.829464,228981,8.736801
2026-01-29,14900,0.57343,78700,3.018555,-63800,-2.445125
2026-01-28,160400,6.237455,117300,4.58628,43100,1.651175
2026-01-27,769900,29.546875,112102,4.292761,657798,25.254114
2026-01-26,1177600,45.34013,264005,10.160792,913595,35.179338
2026-01-23,711700,28.03585,147100,5.857745,564600,22.178105
2026-01-22,461700,18.52329,276710,11.183754,184990,7.339536
2026-01-21,142500,5.601505,286200,11.34722,-143700,-5.745715
2026-01-20,676900,27.076335,641712,25.638991,35188,1.437344
2026-01-19,326600,13.02953,254819,10.15195,71781,2.87758
2026-01-16,479400,19.32099,431700,17.35603,47700,1.96496
2026-01-15,978400,39.37606,311600,12.569245,666800,26.806815
2026-01-14,439200,18.120385,544617,22.946829,-105417,-4.826444
2026-01-13,317800,13.01131,1023900,41.939375,-706100,-28.928065
2026-01-12,1598100,67.3693,3585704,142.847737,-1987604,-75.478437
2026-01-09,641600,25.42129,1020100,40.99941,-378500,-15.57812
2026-01-08,1259100,48.04621,1798700,69.240125,-539600,-21.193915
2026-01-07,523100,19.34358,576205,21.407784,-53105,-2.064204
2026-01-06,449400,15.9203,552705,19.718995,-103305,-3.798695
2026-01-05,805600,28.605,555300,19.72378,250300,8.88122
2025-12-31,2157400,81.0009,136200,4.857435,2021200,76.143465
2025-12-30,69500,2.466375,112000,3.97932,-42500,-1.512945
2025-12-29,1363900,47.737565,173300,6.10895,1190600,41.628615
2025-12-26,126500,4.395275,1373017,48.321638,-1246517,-43.926363
2025-12-25,768300,27.163485,61300,2.199065,707000,24.96442
2025-12-24,187500,6.546925,103200,3.61235,84300,2.934575
2025-12-23,192300,6.72411,542303,19.061863,-350003,-12.337753
2025-12-22,106700,3.721785,111100,3.886955,-4400,-0.16517
2025-12-19,223800,7.689445,162805,5.59514,60995,2.094305
2025-12-18,48000,1.64202,35400,1.21139,12600,0.43063
2025-12-17,105400,3.6412,170906,6.043957,-65506,-2.402757
2025-12-16,29700,1.46979,134212,6.705335,-104512,-5.235545
2025-12-15,414800,20.57638,53200,2.637395,361600,17.938985
2025-12-12,2071100,104.377515,321106,16.128915,1749994,88.2486
2025-12-11,85200,4.29116,183104,9.177628,-97904,-4.886468
2025-12-10,161200,8.22617,1096300,54.85565,-935100,-46.62948
2025-12-09,497600,25.02387,80107,4.046928,417493,20.976942
2025-12-08,52100,2.65602,114403,5.880134,-62303,-3.224114
2025-12-05,113400,5.86436,39603,2.054675,73797,3.809685
2025-12-04,72700,3.77841,19800,1.02699,52900,2.75142
2025-12-03,89600,4.54899,629451,32.287802,-539851,-27.738812
2025-12-02,22100,1.075275,83800,4.098655,-61700,-3.02338
2025-12-01,36700,1.78079,46832,2.278974,-10132,-0.498184
2025-11-28,20700,1.00425,61209,2.974554,-40509,-1.970304
2025-11-27,32600,1.59764,62811,3.075821,-30211,-1.478181
2025-11-26,103100,4.97078,11415,0.557547,91685,4.413233
2025-11-25,318800,15.390955,43405,2.100032,275395,13.290923
2025-11-24,163500,7.98846,23017,1.126017,140483,6.862443
2025-11-21,1154800,56.045345,45908,2.231536,1108892,53.813809
2025-11-20,29200,1.432085,111503,5.468698,-82303,-4.036613
2025-11-19,44100,2.16234,89101,4.373261,-45001,-2.210921
2025-11-18,33400,1.641665,257915,12.686722,-224515,-11.045057
2025-11-17,79400,3.85595,46050,2.24752,33350,1.60843
2025-11-14,68800,3.316175,28100,1.35694,40700,1.959235
2025-11-13,98300,4.79655,85500,4.1642,12800,0.63235
2025-11-12,160100,7.799665,155200,7.553025,4900,0.24664
2025-11-11,241400,11.479145,347708,16.646022,-106308,-5.166877
2025-11-10,637500,31.73832,42700,2.05705,594800,29.68127
2025-11-07,201100,9.92679,257605,12.673883,-56505,-2.747093
2025-11-06,107700,5.43919,529808,26.777672,-422108,-21.338482
2025-11-05,40400,2.06462,298703,15.17161,-258303,-13.10699
2025-11-04,150500,7.304555,642910,31.505882,-492410,-24.201327
2025-11-03,471200,23.03612,71107,3.474399,400093,19.561721
2025-10-31,401800,19.857085,304515,15.074037,97285,4.783048
2025-10-30,486100,23.98828,79104,3.91065,406996,20.07763
2025-10-29,41000,2.02645,217803,10.799212,-176803,-8.772762
2025-10-28,204300,9.82417,144200,6.989695,60100,2.834475
2025-10-27,141400,6.932675,354900,17.468925,-213500,-10.53625
2025-10-24,538100,26.1132,177600,8.69699,360500,17.41621
2025-10-23,468400,23.369905,62800,3.12472,405600,20.245185
2025-10-22,552000,27.16773,363300,17.966065,188700,9.201665
2025-10-21,380200,18.76796,278600,13.832085,101600,4.935875
2025-10-20,969300,49.18572,106200,5.447745,863100,43.737975
2025-10-17,368300,19.466,154300,8.19053,214000,11.27547
2025-10-16,348200,18.76614,143000,7.70058,205200,11.06556
2025-10-15,209500,11.4581,186400,10.14717,23100,1.31093
2025-10-14,627900,34.49427,960200,52.51411,-332300,-18.01984
2025-10-13,383000,21.32167,634100,35.32574,-251100,-14.00407
2025-10-10,596700,33.12125,556100,30.77468,40600,2.34657
2025-10-09,769700,41.07196,1230000,66.09312,-460300,-25.02116
2025-10-08,1179700,62.39507,1284000,67.52905,-104300,-5.13398
2025-10-07,1958100,97.09705,139000,7.22747,1819100,89.86958
2025-10-06,212800,11.11485,530900,27.59958,-318100,-16.48473
2025-10-03,655500,33.37561,15100,0.76708,640400,32.60853
2025-10-02,641500,33.1231,250600,12.98477,390900,20.13833
2025-10-01,280200,14.34654,316800,16.23208,-36600,-1.88554
2025-09-30,334400,16.88261,255700,12.96295,78700,3.91966
2025-09-29,139700,7.09235,388300,19.71296,-248600,-12.62061
2025-09-26,277000,14.1045,469800,23.86334,-192800,-9.75884
2025-09-25,171400,8.59984,179600,9.05272,-8200,-0.45288
2025-09-24,118800,5.927275,233500,11.63618,-114700,-5.708905
2025-09-23,121200,6.028565,205200,10.18332,-84000,-4.154755
2025-09-22,355700,17.736015,459700,23.17729,-104000,-5.441275
