Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-02-10,416600,20.25608,266801,12.582207,149799,7.673873
2026-02-09,36800,1.87476,0,0.0,36800,1.87476
2026-02-06,47900,2.45557,91800,4.74871,-43900,-2.29314
2026-02-05,11900,0.62467,37500,1.9396,-25600,-1.31493
2026-02-04,16700,0.89027,5400,0.28816,11300,0.60211
2026-02-03,12000,0.66136,19200,1.04145,-7200,-0.38009
2026-02-02,319100,17.12882,90400,4.88113,228700,12.24769
2026-01-30,319900,17.18338,45223,2.434931,274677,14.748449
2026-01-29,2900,0.14919,7000,0.36273,-4100,-0.21354
2026-01-28,165900,9.02555,31200,1.62539,134700,7.40016
2026-01-27,219100,11.10703,124205,6.490864,94895,4.616166
2026-01-26,169500,8.84279,40909,2.119635,128591,6.723155
2026-01-23,18800,0.97349,98513,5.079859,-79713,-4.106369
2026-01-22,156700,8.35996,150320,8.253136,6380,0.106824
2026-01-21,126200,6.5375,242800,13.01635,-116600,-6.47885
2026-01-20,60700,3.306,39808,2.129597,20892,1.176403
2026-01-19,14500,0.74916,51016,2.623471,-36516,-1.874311
2026-01-16,71000,3.67542,94100,4.83552,-23100,-1.1601
2026-01-15,425900,21.8718,47500,2.4444,378400,19.4274
2026-01-14,48700,2.5897,47306,2.532375,1394,0.057325
2026-01-13,76300,3.812105,520300,26.00593,-444000,-22.193825
2026-01-12,87500,4.30855,460102,22.154421,-372602,-17.845871
2026-01-09,513400,23.11138,260203,11.86357,253197,11.24781
2026-01-08,19100,0.807165,9600,0.405345,9500,0.40182
2026-01-07,714800,28.455575,15700,0.632735,699100,27.82284
2026-01-06,21500,0.823245,56504,2.166663,-35004,-1.343418
2026-01-05,2600,0.099245,17900,0.6869,-15300,-0.587655
2025-12-31,55800,2.192065,10103,0.395115,45697,1.79695
2025-12-30,3100,0.122025,0,0.0,3100,0.122025
2025-12-29,2500,0.09687,8200,0.317855,-5700,-0.220985
2025-12-26,14700,0.56331,13810,0.532216,890,0.031094
2025-12-25,8700,0.33511,1600,0.06173,7100,0.27338
2025-12-24,15500,0.589415,6200,0.23621,9300,0.353205
2025-12-23,8200,0.313495,12400,0.476625,-4200,-0.16313
2025-12-22,5200,0.199375,20703,0.782375,-15503,-0.583
2025-12-19,15500,0.58756,1800,0.06822,13700,0.51934
2025-12-18,12800,0.48766,12316,0.469436,484,0.018224
2025-12-17,1200,0.0453,14103,0.536949,-12903,-0.491649
2025-12-16,9900,0.36703,1800,0.067395,8100,0.299635
2025-12-15,3600,0.133245,12302,0.455664,-8702,-0.322419
2025-12-12,9800,0.36721,11500,0.428445,-1700,-0.061235
2025-12-11,12100,0.45817,7812,0.294391,4288,0.163779
2025-12-10,12000,0.452145,7400,0.2796,4600,0.172545
2025-12-09,11900,0.443995,11414,0.427674,486,0.016321
2025-12-08,6800,0.256175,5406,0.203791,1394,0.052384
2025-12-05,10000,0.3804,7800,0.29822,2200,0.08218
2025-12-04,6700,0.256505,6300,0.24132,400,0.015185
2025-12-03,9300,0.35538,7209,0.271824,2091,0.083556
2025-12-02,6900,0.254035,5402,0.198909,1498,0.055126
2025-12-01,6900,0.25563,12002,0.446109,-5102,-0.190479
2025-11-28,6900,0.257835,16807,0.62612,-9907,-0.368285
2025-11-27,4200,0.157455,8107,0.303618,-3907,-0.146163
2025-11-26,30900,1.15212,3605,0.134632,27295,1.017488
2025-11-25,14700,0.547245,9009,0.33686,5691,0.210385
2025-11-24,12000,0.453325,6306,0.23802,5694,0.215305
2025-11-21,6900,0.259105,5415,0.203322,1485,0.055783
2025-11-20,5100,0.194235,16142,0.612844,-11042,-0.418609
2025-11-19,9300,0.355935,11701,0.447436,-2401,-0.091501
2025-11-18,4800,0.18426,22106,0.84734,-17306,-0.66308
2025-11-17,6700,0.257645,9735,0.37376,-3035,-0.116115
2025-11-14,6200,0.237695,7900,0.30358,-1700,-0.065885
2025-11-13,10700,0.40919,35004,1.342567,-24304,-0.933377
2025-11-12,23300,0.889405,10400,0.39629,12900,0.493115
2025-11-11,12200,0.46311,31900,1.209925,-19700,-0.746815
2025-11-10,3900,0.14709,11300,0.42608,-7400,-0.27899
2025-11-07,12800,0.486505,8107,0.309401,4693,0.177104
2025-11-06,7100,0.27361,11809,0.455164,-4709,-0.181554
2025-11-05,9500,0.36675,11700,0.44985,-2200,-0.0831
2025-11-04,21500,0.804725,10518,0.394717,10982,0.410008
2025-11-03,9600,0.360765,7300,0.273795,2300,0.08697
2025-10-31,20200,0.76182,9314,0.350564,10886,0.411256
2025-10-30,1800,0.068235,5400,0.204285,-3600,-0.13605
2025-10-29,3300,0.12423,11312,0.425955,-8012,-0.301725
2025-10-28,23100,0.85237,11200,0.414045,11900,0.438325
2025-10-27,11700,0.431605,25800,0.94957,-14100,-0.517965
2025-10-24,25200,0.921495,19300,0.70571,5900,0.215785
2025-10-23,19700,0.731775,8400,0.311375,11300,0.4204
2025-10-22,8100,0.29718,35400,1.309215,-27300,-1.012035
2025-10-21,22900,0.84705,22500,0.835545,400,0.011505
2025-10-20,18700,0.71229,300,0.011685,18400,0.700605
2025-10-17,14400,0.568325,14400,0.565255,0,0.00307
2025-10-16,4300,0.16947,41700,1.64387,-37400,-1.4744
2025-10-15,18100,0.716775,7800,0.309225,10300,0.40755
2025-10-14,23800,0.953325,755700,30.177135,-731900,-29.22381
2025-10-13,29600,1.21092,616200,25.215765,-586600,-24.004845
2025-10-10,17900,0.738865,620900,25.566415,-603000,-24.82755
2025-10-09,7800,0.316675,554100,22.514885,-546300,-22.19821
2025-10-08,14800,0.603805,1206200,48.86289,-1191400,-48.259085
2025-10-07,34900,1.422095,150600,6.127985,-115700,-4.70589
2025-10-06,78900,3.20044,374000,15.160325,-295100,-11.959885
2025-10-03,127100,5.070355,0,0.0,127100,5.070355
2025-10-02,243800,9.817815,77900,3.1484,165900,6.669415
2025-10-01,83300,3.354815,143200,5.765595,-59900,-2.41078
2025-09-30,156800,6.26313,251700,10.130725,-94900,-3.867595
2025-09-29,83900,3.38223,392200,15.80495,-308300,-12.42272
2025-09-26,124400,5.0669,213500,8.746735,-89100,-3.679835
2025-09-25,141300,5.77683,105300,4.31625,36000,1.46058
2025-09-24,77900,3.181435,390800,16.04429,-312900,-12.862855
2025-09-23,172400,7.033465,122200,4.971195,50200,2.06227
2025-09-22,127300,5.07702,83000,3.33648,44300,1.74054
2025-09-19,50300,2.045695,72600,2.978795,-22300,-0.9331
