Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-02-05,219900,11.18659,61400,3.09129,158500,8.0953
2026-02-04,267200,13.87788,400,0.02068,266800,13.8572
2026-02-03,209400400,107094.70952,40800,2.11064,209359600,107092.59888
2026-02-02,46900,2.34773,41200,2.05921,5700,0.28852
2026-01-30,13800,0.69579,16800,0.8428,-3000,-0.14701
2026-01-29,6300,0.31457,4600,0.22707,1700,0.0875
2026-01-28,18100,0.89613,3100,0.153205,15000,0.742925
2026-01-27,60000,2.92165,4800,0.23598,55200,2.68567
2026-01-26,800,152107.5192,1330025900,0.62095,-1330025100,152106.89825
2026-01-23,63300,3.1901,15100,0.75312,48200,2.43698
2026-01-22,39800,2.03502,24700,1.25162,15100,0.7834
2026-01-21,20400,1.04665,47000,2.40222,-26600,-1.35557
2026-01-20,84000,4.46318,61300,3.23418,22700,1.229
2026-01-16,59300,3.13593,126800,6.71502,-67500,-3.57909
2026-01-15,46000,2.47179,360400,19.64276,-314400,-17.17097
2026-01-14,99400,5.30446,116500,6.21322,-17100,-0.90876
2026-01-13,0,0.0,66000,3.230535,-66000,-3.230535
2026-01-12,68500,3.221815,26700,1.256305,41800,1.96551
2026-01-09,60800,3.00054,60300,2.9623,500,0.03824
2026-01-08,2850030000,0.231499,22100,0.0,2850007900,0.231499
2026-01-07,17800,0.85757,35600,1.710285,-17800,-0.852715
2026-01-06,247800,11.819525,8600,0.41177,239200,11.407755
2026-01-05,167400,81137001.35849,28000,0.0,139400,81137001.35849
2025-12-31,6300,0.309865,12400,0.60917,-6100,-0.299305
2025-12-30,193500,9.424445,0,0.0,193500,9.424445
2025-12-29,3100,0.15127,10800,0.52761,-7700,-0.37634
2025-12-26,18000,0.877985,3600,0.17558,14400,0.702405
2025-12-25,11100,0.54273,2900,0.141345,8200,0.401385
2025-12-24,19000,0.93262,15900,0.77984,3100,0.15278
2025-12-23,9000,0.4435,20800,1.029345,-11800,-0.585845
2025-12-22,4600,0.229705,1600,0.07968,3000,0.150025
2025-12-19,20700,1.032435,2800,0.139675,17900,0.89276
2025-12-18,14400,0.72098,66400,3.31663,-52000,-2.59565
2025-12-17,1200,0.06184,46400,2.35044,-45200,-2.2886
2025-12-16,66000,3.3572,15600,0.79886,50400,2.55834
2025-12-15,4600,0.23381,56900,2.89045,-52300,-2.65664
2025-12-12,22400,1.1627,45800,2.35165,-23400,-1.18895
2025-12-11,36000,1.89127,42700,2.22185,-6700,-0.33058
2025-12-10,23000,1.20367,12800,0.66519,10200,0.53848
2025-12-09,73400,3.95388,37500,2.04372,35900,1.91016
2025-12-08,7600,0.40432,8400,0.434,-800,-0.02968
2025-12-05,9200,0.45988,37000,1.8575,-27800,-1.39762
2025-12-04,29200,1.49124,15500,0.79107,13700,0.70017
2025-12-03,81000,4.25749,26400,1.40541,54600,2.85208
2025-12-02,9200,0.46806,16800,0.85158,-7600,-0.38352
2025-12-01,10000,0.48858,20800,0.99472,-10800,-0.50614
2025-11-28,9200,0.42812,27200,1.26102,-18000,-0.8329
2025-11-27,5600,0.261065,14400,0.669505,-8800,-0.40844
2025-11-26,43600,2.03258,4800,0.223205,38800,1.809375
2025-11-25,19600,0.90773,19200,0.887805,400,0.019925
2025-11-24,56300,2.630225,9600,0.44848,46700,2.181745
2025-11-21,19500,0.90939,20400,0.952335,-900,-0.042945
2025-11-20,12800,0.60487,25700,1.21095,-12900,-0.60608
2025-11-19,22400,1.054305,43400,2.0422,-21000,-0.987895
2025-11-18,13600,0.642355,46600,2.19422,-33000,-1.551865
2025-11-17,28500,1.34826,13600,0.643545,14900,0.704715
2025-11-14,20600,0.97461,12500,0.59075,8100,0.38386
2025-11-13,26400,1.249175,38000,1.79251,-11600,-0.543335
2025-11-12,39400,1.84901,37900,1.77049,1500,0.07852
2025-11-11,41200,1.9301,79900,3.69279,-38700,-1.76269
2025-11-10,30400,1.40238,18800,0.86559,11600,0.53679
2025-11-07,36500,1.68661,22700,1.045215,13800,0.641395
2025-11-06,30100,1.39123,40300,1.8576,-10200,-0.46637
2025-11-04,48400,2.22237,19200,0.8828,29200,1.33957
2025-11-03,61100,2.8227,22000,1.01634,39100,1.80636
2025-10-31,16000,0.73241,13500,0.61683,2500,0.11558
2025-10-30,2200,0.10039,24300,1.105585,-22100,-1.005195
2025-10-29,3300,0.151255,34700,1.58308,-31400,-1.431825
2025-10-28,44400,2.02122,17500,0.795845,26900,1.225375
2025-10-27,11800,0.53855,67300,3.06573,-55500,-2.52718
2025-10-24,77400,3.511695,27200,1.231785,50200,2.27991
2025-10-23,54400,2.470285,9300,0.423245,45100,2.04704
2025-10-22,13900,0.61882,83000,3.68484,-69100,-3.06602
2025-10-21,44900,1.987085,55700,2.464445,-10800,-0.47736
2025-10-20,69000,3.102195,2100,0.094515,66900,3.00768
2025-10-17,16600,0.74854,45000,2.02741,-28400,-1.27887
2025-10-16,32400,1.467355,38100,1.72455,-5700,-0.257195
2025-10-15,20800,0.943635,9100,0.413335,11700,0.5303
2025-10-14,20600,0.938275,6300,0.287525,14300,0.65075
2025-10-13,57700,2.64353,41400,1.88175,16300,0.76178
2025-10-10,21400,0.0,0,1.821065,21400,-1.821065
