Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-02-06,708800,49.07661,911800,63.15188,-203000,-14.07527
2026-02-05,649700,45.62006,736500,51.39911,-86800,-5.77905
2026-02-04,412800,29.59273,297500,21.36302,115300,8.22971
2026-02-03,610700,44.18223,470000,33.8842,140700,10.29803
2026-02-02,495200,35.3217,809500,57.54713,-314300,-22.22543
2026-01-30,304010,21.64468,667362,47.46869,-363352,-25.82401
2026-01-29,861800,60.38514,494600,34.70636,367200,25.67878
2026-01-28,737000,50.23157,307500,20.94996,429500,29.28161
2026-01-27,968200,65.11534,313500,21.13011,654700,43.98523
2026-01-26,760502,52.25523,194725,13.38358,565777,38.87165
2026-01-23,1180800,80.84951,869800,58.97841,311000,21.8711
2026-01-22,626826,44.73365,356700,25.28602,270126,19.44763
2026-01-21,529700,37.73866,710600,50.61411,-180900,-12.87545
2026-01-20,1227500,91.54089,1171821,86.86165,55679,4.67924
2026-01-16,621100,29.82817,14686300,78.08165,-14065200,-48.25348
2026-01-15,1396500,100.54351,2162916,154.184426,-766416,-53.640916
2026-01-14,1361404,90.82505,796536,52.87334,564868,37.95171
2026-01-13,608800,38.89841,527300,33.58167,81500,5.31674
2026-01-12,1172204,73.00894,231727,14.29383,940477,58.71511
2026-01-09,418106,25.88982,771947,47.50897,-353841,-21.61915
2026-01-08,608108,38.02908,474254,29.55262,133854,8.47646
2026-01-07,225100,13.76626,355704,21.669336,-130604,-7.903076
2026-01-06,632500,38.3832,183206,11.132797,449294,27.250403
2026-01-05,275900,16.80407,482800,29.20762,-206900,-12.40355
2025-12-31,194004,11.92964,151630,9.29345,42374,2.63619
2025-12-30,158003,9.79107,47373,2.92117,110630,6.8699
2025-12-29,143900,8.91545,73500,4.53719,70400,4.37826
2025-12-26,201900,12.4767,39604,2.441008,162296,10.035692
2025-12-25,95300,5.89955,118000,7.26102,-22700,-1.36147
2025-12-24,254300,15.75569,354900,22.20335,-100600,-6.44766
2025-12-23,179400,11.31781,292801,18.442609,-113401,-7.124799
2025-12-22,171903,10.89029,120479,7.62036,51424,3.26993
2025-12-19,220600,14.01967,52804,3.344898,167796,10.674772
2025-12-18,229400,14.61364,366000,23.2443,-136600,-8.63066
2025-12-17,108112,6.8744,402118,25.3681,-294006,-18.4937
2025-12-16,575100,36.496189,333705,21.24777,241395,15.248419
2025-12-12,209200,12.82006,529500,32.01416,-320300,-19.1941
2025-12-11,366000,22.90442,716500,44.26351,-350500,-21.35909
2025-12-10,228000,14.48442,584600,36.90102,-356600,-22.4166
2025-12-09,504000,31.88452,818100,51.49758,-314100,-19.61306
2025-12-08,271500,17.32961,535900,34.1311,-264400,-16.80149
2025-12-05,287300,18.32379,211700,13.49473,75600,4.82906
2025-12-04,389200,24.96451,433800,27.70319,-44600,-2.73868
2025-12-03,177100,11.43787,528700,34.07965,-351600,-22.64178
2025-12-02,246200,16.02509,454900,29.59386,-208700,-13.56877
2025-12-01,567800,37.06825,901500,58.64767,-333700,-21.57942
2025-11-28,756300,48.34573,1408000,89.811,-651700,-41.46527
2025-11-27,231000,14.52065,483708,30.247398,-252708,-15.726748
2025-11-26,438800,27.52842,191103,11.967963,247697,15.560457
2025-11-25,374503,23.46658,605276,37.80903,-230773,-14.34245
2025-11-24,1728512,108.09013,746886,46.449096,981626,61.641034
2025-11-21,637705,38.29889,656083,39.36957,-18378,-1.07068
2025-11-20,203205,12.40445,266484,16.20443,-63279,-3.79998
2025-11-19,617200,37.83298,361607,22.101626,255593,15.731354
2025-11-18,234800,14.35176,697209,42.53907,-462409,-28.18731
2025-11-17,215818,13.46911,567253,35.32356,-351435,-21.85445
2025-11-14,490800,30.81103,816800,51.15766,-326000,-20.34663
2025-11-13,992600,60.56671,698200,42.63305,294400,17.93366
2025-11-12,853500,51.08066,383000,22.68052,470500,28.40014
2025-11-11,744700,43.43813,607104,35.037102,137596,8.401028
2025-11-10,184600,10.62641,366500,20.9553,-181900,-10.32889
2025-11-07,242800,14.1124,315500,18.24571,-72700,-4.13331
2025-11-06,312000,18.17298,269000,15.61348,43000,2.5595
2025-11-05,737300,42.83541,385400,22.31638,351900,20.51903
2025-11-04,550419,22.43645,9627273,29.21008,-9076854,-6.77363
2025-11-03,567300,32.83796,351300,20.29486,216000,12.5431
2025-10-31,435100,25.04237,513802,29.486496,-78702,-4.444126
2025-10-30,105500,6.04263,422703,24.213101,-317203,-18.170471
