Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-02-11,10000,0.36273,2000,0.07096,8000,0.29177
2026-02-10,16600,0.613755,41900,1.53851,-25300,-0.924755
2026-02-09,7000,0.27488,4000,0.1546,3000,0.12028
2026-02-06,45400,1.79915,88000,3.460635,-42600,-1.661485
2026-02-05,6000,0.24441,46900,1.87952,-40900,-1.63511
2026-02-04,8800,0.37088,25500,1.06351,-16700,-0.69263
2026-02-03,9000,0.3783,234100,9.909677,-225100,-9.531377
2026-02-02,28400,1.151135,154800,6.33823,-126400,-5.187095
2026-01-30,61500,2.45536,24500,0.979565,37000,1.475795
2026-01-29,7400,0.287305,328400,13.362615,-321000,-13.07531
2026-01-28,17600,0.713715,309900,12.664195,-292300,-11.95048
2026-01-27,30500,1.197535,259500,10.37367,-229000,-9.176135
2026-01-26,25100,0.967025,29900,1.144595,-4800,-0.17757
2026-01-23,231300,8.56379,12200,0.461795,219100,8.101995
2026-01-22,40600,1.5906,153900,6.13914,-113300,-4.54854
2026-01-21,19300,0.745655,102700,3.86908,-83400,-3.123425
2026-01-20,93800,3.77441,244600,9.83998,-150800,-6.06557
2026-01-19,30300,1.15205,148200,5.63624,-117900,-4.48419
2026-01-16,219000,7.90938,365200,13.36325,-146200,-5.45387
2026-01-15,130800,4.980055,167600,6.31151,-36800,-1.331455
2026-01-14,24600,0.870115,43000,1.535295,-18400,-0.66518
2026-01-13,518800,17.163105,44100,1.41503,474700,15.748075
2026-01-12,51600,1.65259,87200,2.8139,-35600,-1.16131
2026-01-09,47700,1.505725,7800,0.241415,39900,1.26431
2026-01-08,127300,3.8815,608900,18.370605,-481600,-14.489105
2026-01-07,56100,1.64797,14100,0.40835,42000,1.23962
2026-01-06,600400,16.54102,8813,0.23268,591587,16.30834
2026-01-05,3200,0.08301,19700,0.51312,-16500,-0.43011
2025-12-31,5900,0.15599,13200,0.34726,-7300,-0.19127
2025-12-30,3000,0.0801,0,0.0,3000,0.0801
2025-12-29,3000,0.07755,9000,0.231245,-6000,-0.153695
2025-12-26,18200,0.465855,3200,0.082,15000,0.383855
2025-12-25,11100,0.289065,3100,0.080785,8000,0.20828
2025-12-24,18700,0.48997,9600,0.25081,9100,0.23916
2025-12-23,9800,0.26001,16000,0.42594,-6200,-0.16593
2025-12-22,4700,0.125085,1200,0.03178,3500,0.093305
2025-12-19,9100,0.24198,2800,0.07429,6300,0.16769
2025-12-18,14400,0.38294,13600,0.36094,800,0.022
2025-12-17,1200,0.03176,18800,0.496395,-17600,-0.464635
2025-12-16,12800,0.33098,2400,0.06302,10400,0.26796
2025-12-15,4400,0.11261,16800,0.43081,-12400,-0.3182
2025-12-12,12800,3386703.01158,15921,0.41276,-3121,3386702.59882
2025-12-11,15600,0.41922,10400,0.278585,5200,0.140635
2025-12-10,16000,0.430895,9600,0.25761,6400,0.173285
2025-12-09,14000,0.37677,15200,0.408865,-1200,-0.032095
2025-12-08,8800,0.237965,7200,0.196615,1600,0.04135
2025-12-05,5600,0.15384,10400,0.28806,-4800,-0.13422
2025-12-04,8400,0.234995,19600,0.5479,-11200,-0.312905
2025-12-03,12400,0.3445,9600,0.266035,2800,0.078465
2025-12-02,9200,0.2499,7200,0.19512,2000,0.05478
2025-12-01,9200,0.24978,21200,0.577415,-12000,-0.327635
2025-11-28,9200,0.254145,22400,0.615935,-13200,-0.36179
2025-11-27,5600,0.15518,11200,0.3097,-5600,-0.15452
2025-11-26,41200,1.13236,4800,0.13204,36400,1.00032
2025-11-25,20000,0.547285,12000,0.33002,8000,0.217265
2025-11-24,16000,0.44543,8400,0.23442,7600,0.21101
2025-11-21,9200,0.25448,7200,0.19985,2000,0.05463
2025-11-20,6800,0.19114,20900,0.582725,-14100,-0.391585
2025-11-19,12400,0.35046,15600,0.440365,-3200,-0.089905
2025-11-18,6400,0.344955,30200,0.86325,-23800,-0.518295
2025-11-17,18800,0.54389,6400,0.18446,12400,0.35943
2025-11-14,8200,0.23312,6700,0.190675,1500,0.042445
2025-11-13,14200,0.406365,15200,0.43459,-1000,-0.028225
2025-11-12,31000,0.87599,13900,0.39117,17100,0.48482
2025-11-11,16200,0.4541,36600,1.02399,-20400,-0.56989
2025-11-10,6600,0.184965,9400,0.26475,-2800,-0.079785
2025-11-07,12400,0.352945,11000,0.313015,1400,0.03993
2025-11-06,8400,0.24522,13200,0.384865,-4800,-0.139645
2025-11-05,12600,0.36655,15600,0.453015,-3000,-0.086465
2025-11-04,22000,0.619315,14000,0.39763,8000,0.221685
2025-11-03,12800,0.372725,9600,0.27807,3200,0.094655
2025-10-31,19200,0.54997,12400,0.36027,6800,0.1897
2025-10-30,2400,0.0676,22200,0.6253,-19800,-0.5577
2025-10-29,4400,0.1234,15900,0.44663,-11500,-0.32323
2025-10-28,30600,0.83392,14200,0.386575,16400,0.447345
2025-10-27,15200,0.419915,46600,1.282565,-31400,-0.86265
2025-10-24,33600,0.88735,19800,0.520765,13800,0.366585
2025-10-23,24600,0.65151,11400,0.30078,13200,0.35073
2025-10-22,10000,0.258915,41800,1.076745,-31800,-0.81783
2025-10-21,28600,0.72062,30000,0.764685,-1400,-0.044065
2025-10-20,21200,0.561765,400,0.01082,20800,0.550945
2025-10-17,18200,0.49874,19200,0.522825,-1000,-0.024085
2025-10-16,5200,0.14203,55200,1.50508,-50000,-1.36305
2025-10-15,20800,0.574065,10000,0.27545,10800,0.298615
2025-10-14,27200,0.76326,6400,0.1817,20800,0.58156
2025-10-13,44400,1.25705,21600,0.613795,22800,0.643255
2025-10-10,21200,0.59612,29200,0.822795,-8000,-0.226675
2025-10-09,10400,0.291455,34800,0.960175,-24400,-0.66872
2025-10-08,5000,0.13755,168800,4.65695,-163800,-4.5194
2025-10-07,9200,0.25488,54900,1.518645,-45700,-1.263765
