Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-02-23,1101200,103.93992,1394700,131.43134,-293500,-27.49142
2026-02-13,1020200,99.35018,2274160,220.721202,-1253960,-121.371022
2026-02-12,848800,83.81147,535000,52.77947,313800,31.032
2026-02-11,1251900,123.59357,545200,53.66133,706700,69.93224
2026-02-10,984900,97.1482,962100,94.3943,22800,2.7539
2026-02-09,1017900,100.46467,353800,34.92142,664100,65.54325
2026-02-06,1245300,122.79591,1779600,174.50918,-534300,-51.71327
2026-02-05,2349400,234.32986,1443300,143.94777,906100,90.38209
2026-02-04,1084700,110.99498,443700,45.43663,641000,65.55835
2026-02-03,1188800,123.66976,812202,84.376574,376598,39.293186
2026-02-02,1332900,137.07726,1199700,123.52945,133200,13.54781
2026-01-30,325600,34.16548,656501,68.862789,-330901,-34.697309
2026-01-29,1099600,116.12219,1021300,107.67031,78300,8.45188
2026-01-28,821500,85.86047,1230640,128.424866,-409140,-42.564396
2026-01-27,1313900,132.98811,862100,87.27182,451800,45.71629
2026-01-26,1034100,102.90755,517500,51.40986,516600,51.49769
2026-01-23,1152600,118.54475,685100,70.52245,467500,48.0223
2026-01-22,967500400,0.0605,0,0.000879,967500400,0.059621
2026-01-21,1506500,155.36761,1108900,114.10535,397600,41.26226
2026-01-20,1603700,168.73051,919008,96.618907,684692,72.111603
2026-01-19,1059812,113.42312,2181276,233.61355,-1121464,-120.19043
2026-01-16,1459800,149.58927,3976700,414.16826,-2516900,-264.57899
2026-01-15,1378900,137.61546,984800,97.55808,394100,40.05738
2026-01-14,713200,70.70845,769915,76.44806,-56715,-5.73961
2026-01-13,1481400,147.91208,849000,84.57123,632400,63.34085
2026-01-12,1578000,156.13893,972404,96.151682,605596,59.987248
2026-01-09,1350200,132.74051,1283723,125.410209,66477,7.330301
2026-01-08,668200,64.78831,514504,49.941203,153696,14.847107
2026-01-07,990000,95.38638,549900,52.84887,440100,42.53751
2026-01-06,951300,89.64692,214810,20.274604,736490,69.372316
2026-01-05,846300,79.85119,554300,52.27852,292000,27.57267
2025-12-31,959400,91.88103,283600,27.11431,675800,64.76672
2025-12-30,998700,95.52126,627104,60.138131,371596,35.383129
2025-12-29,574100,53.8791,558560,52.46895,15540,1.41015
2025-12-26,1043000,96.18828,479800,44.16085,563200,52.02743
2025-12-25,408500,38.39436,613000,57.23226,-204500,-18.8379
2025-12-24,538100,50.46759,435600,40.81165,102500,9.65594
2025-12-23,450800,43.06767,698100,65.77356,-247300,-22.70589
2025-12-22,827100,77.66372,422100,39.67579,405000,37.98793
2025-12-19,660300,62.23785,140106,13.163047,520194,49.074803
2025-12-18,411700,38.8517,822700,77.48114,-411000,-38.62944
2025-12-17,498100,47.6395,546000,52.09628,-47900,-4.45678
2025-12-16,1422700,133.00187,494600,46.25821,928100,86.74366
2025-12-15,341000,32.03423,310915,29.19089,30085,2.84334
2025-12-12,513400,48.97301,579517,54.896498,-66117,-5.923488
2025-12-11,581800,55.971,321800,30.94214,260000,25.02886
2025-12-10,487800,46.98104,382800,36.73903,105000,10.24201
2025-12-09,1190500,113.48041,759604,72.880856,430896,40.599554
2025-12-08,371300,35.68283,326706,31.358727,44594,4.324103
2025-12-05,464200,44.84901,235800,22.80284,228400,22.04617
2025-12-04,1279800,124.77299,468600,45.63556,811200,79.13743
2025-12-03,403500,38.85821,356458,34.332144,47042,4.526066
2025-12-02,407700,39.14354,399400,38.32154,8300,0.822
2025-12-01,421500,40.9287,403104,39.004278,18396,1.924422
2025-11-28,367200,36.03564,632404,61.89489,-265204,-25.85925
