Date,BuyShares,BuyValue_billion,SellShares,SellValue_billion,NetShares,NetValue_billion
2026-02-13,1872700,32.39429,761600,13.147,1111100,19.24729
2026-02-12,385400,6.57449,309200,5.272065,76200,1.302425
2026-02-11,510300,8.6573,261101,4.40142,249199,4.25588
2026-02-10,540401,9.05815,1132116,18.86504,-591715,-9.80689
2026-02-09,447500,7.537255,360400,6.055485,87100,1.48177
2026-02-06,521401,8.800165,906316,15.359105,-384915,-6.55894
2026-02-05,334300,5.808185,563300,9.724795,-229000,-3.91661
2026-02-04,692000,12.05574,286002,4.990978,405998,7.064762
2026-02-03,451300,7.893145,486200,8.474845,-34900,-0.5817
2026-02-02,309302,5.425305,400833,7.019125,-91531,-1.59382
2026-01-30,785701,13.950275,313416,5.52937,472285,8.420905
2026-01-29,62600,1.09728,53800,0.943305,8800,0.153975
2026-01-28,274902,4.805145,26932,0.46985,247970,4.335295
2026-01-27,395702,6.9076,66733,1.160725,328969,5.746875
2026-01-26,340401,5.99111,242717,4.24674,97684,1.74437
2026-01-23,413101,7.37818,179317,3.196375,233784,4.181805
2026-01-22,332700,5.96323,142200,2.54204,190500,3.42119
2026-01-21,320800,5.731645,427700,7.63626,-106900,-1.904615
2026-01-20,618400,11.265745,405700,7.356025,212700,3.90972
2026-01-16,443201,8.105025,275817,5.04806,167384,3.056965
2026-01-15,330001,6.044425,571517,10.44549,-241516,-4.401065
2026-01-14,182401,3.37367,1623317,30.032855,-1440916,-26.659185
2026-01-13,205001,3.8005,177917,3.300385,27084,0.500115
2026-01-12,736700,13.50991,205400,3.749625,531300,9.760285
2026-01-09,362000,6.50781,625300,11.23346,-263300,-4.72565
2026-01-08,280700,5.07886,144400,2.613355,136300,2.465505
2026-01-07,1153100,20.775815,224701,4.025472,928399,16.750343
2026-01-06,866600,15.2908,86001,1.516122,780599,13.774678
2026-01-05,710500,11.566225,1287600,3.351955,-577100,8.21427
2025-12-31,129300,2.312975,74600,1.33186,54700,0.981115
2025-12-30,60500,1.070525,1149,0.020335,59351,1.05019
2025-12-29,54000,0.95521,79601,1.401396,-25601,-0.446186
2025-12-26,20218200,359.62063,127801,2.239562,20090399,357.381068
2025-12-25,152000,2.744205,166800,2.97214,-14800,-0.227935
2025-12-24,12466000,221.324475,524200,9.374125,11941800,211.95035
2025-12-23,397600,7.15951,589201,10.539977,-191601,-3.380467
2025-12-22,919500,16.32071,5823000,103.370965,-4903500,-87.050255
2025-12-19,366000,6.43925,330200,5.812185,35800,0.627065
2025-12-18,177800,3.11654,520700,9.117765,-342900,-6.001225
2025-12-17,223000,3.91953,776200,13.64519,-553200,-9.72566
2025-12-16,605700,10.50584,749400,13.02271,-143700,-2.51687
2025-12-12,728100,13.141855,1028101,18.119652,-300001,-4.977797
2025-12-11,724100,13.22094,1145201,20.853767,-421101,-7.632827
2025-12-10,323100,5.906175,615500,11.21567,-292400,-5.309495
2025-12-09,426101,7.771695,513817,9.361155,-87716,-1.58946
2025-12-08,301900,5.587565,505202,9.29511,-203302,-3.707545
2025-12-05,210000,3.925375,422200,7.910345,-212200,-3.98497
2025-12-04,432502,8.175615,2237035,42.30634,-1804533,-34.130725
2025-12-03,286734,5.34948,635940,11.8762,-349206,-6.52672
2025-12-02,339800,6.23762,376700,6.925395,-36900,-0.687775
2025-12-01,212300,3.913355,319903,5.897862,-107603,-1.984507
2025-11-28,210200,3.90928,398600,7.416315,-188400,-3.507035
2025-11-27,675100,12.620995,1226100,22.96308,-551000,-10.342085
2025-11-26,339200,6.27231,507800,9.389115,-168600,-3.116805
2025-11-25,134200,2.46581,204700,3.75789,-70500,-1.29208
2025-11-24,347100,6.44471,79300,1.47012,267800,4.97459
2025-11-21,446202,8.276185,244535,4.543215,201667,3.73297
2025-11-20,245900,4.608085,310200,5.80971,-64300,-1.201625
2025-11-19,929300,17.56577,464103,8.752162,465197,8.813608
2025-11-18,195000,3.64817,668000,12.484225,-473000,-8.836055
2025-11-17,274102,5.087115,369735,6.87722,-95633,-1.790105
2025-11-14,297903,5.537245,103552,1.91986,194351,3.617385
2025-11-13,337500,6.33436,428601,7.984332,-91101,-1.649972
2025-11-12,815003,15.051975,368451,6.76407,446552,8.287905
2025-11-11,332400,6.09506,771401,13.940797,-439001,-7.845737
2025-11-10,395601,7.267855,93817,1.71617,301784,5.551685
2025-11-07,385102,7.117815,423557,7.804853,-38455,-0.687038
2025-11-06,448600,8.377695,384100,7.16192,64500,1.215775
2025-11-05,320100,6.03162,273400,5.142225,46700,0.889395
2025-11-04,915601,16.97216,1285217,23.86524,-369616,-6.89308
2025-11-03,878200,16.347845,748708,13.939956,129492,2.407889
2025-10-31,227900,4.25988,384700,7.166775,-156800,-2.906895
2025-10-30,739700,14.069145,676501,12.883098,63199,1.186047
2025-10-29,521102,10.00778,665936,12.78624,-144834,-2.77846
2025-10-28,801704,14.95561,538969,10.009645,262735,4.945965
2025-10-27,504501,9.38706,953617,17.73923,-449116,-8.35217
2025-10-24,1157801,21.45595,1318717,24.41252,-160916,-2.95657
2025-10-23,730200,13.70529,1058628,19.684576,-328428,-5.979286
2025-10-22,361100,6.72353,1741700,32.403265,-1380600,-25.679735
2025-10-21,1258001,23.38175,1326117,24.656835,-68116,-1.275085
2025-10-20,1050401,20.140105,1196098,22.406764,-145697,-2.266659
2025-10-17,316600,6.324215,1433301,28.630869,-1116701,-22.306654
2025-10-16,779902,15.680655,809538,16.26421,-29636,-0.583555
2025-10-15,584203,11.78875,707056,14.29797,-122853,-2.50922
2025-10-14,857903,17.258325,1598356,32.223315,-740453,-14.96499
2025-10-13,1320400,26.609915,2147301,43.153919,-826901,-16.544004
2025-10-10,289200817401,3484739016.70053,6474001395819,7763278028.538859,-6184800578418,-4278539011.8383293
2025-10-09,992100,20.139935,1859401,37.602949,-867301,-17.463014
2025-10-08,702202,14.202368,2507600,50.663555,-1805398,-36.461187
2025-10-07,567480,11.558493,683722,13.855344,-116242,-2.296851
2025-10-06,1066900,21.725985,1408300,28.5648,-341400,-6.838815
2025-10-03,864501,17.081015,524418,10.34802,340083,6.732995
2025-10-02,733500,14.70495,902201,18.221809,-168701,-3.516859
2025-10-01,1280700,25.79163,947501,19.083714,333199,6.707916
2025-09-30,981102,19.501195,677637,13.4721,303465,6.029095
2025-09-29,877201,17.359675,809218,16.00292,67983,1.356755
2025-09-26,860720,17.203279,460504,9.18732,400216,8.015959
2025-09-25,1730400,35.145125,2695100,54.406485,-964700,-19.26136
2025-09-24,562600,11.37908,647542,12.862126,-84942,-1.483046
2025-09-23,804700,16.000025,562572,11.200767,242128,4.799258
2025-09-22,1645000,32.587535,614501,12.219279,1030499,20.368256
2025-09-19,1253900,25.459355,140000,2.86043,1113900,22.598925
2025-09-18,1103100,22.59561,343800,7.047265,759300,15.548345
2025-09-17,1205600,25.065195,860501,17.95326,345099,7.111935
2025-09-16,6238800,131.899385,1047802,22.53552,5190998,109.363865
