t,open,high,low,close,volume,date_vn,Ticker,Date,ret_1d_pct,ret_5d_pct,ret_20d_pct,ret_60d_pct,ret_120d_pct,ret_252d_pct,sma_20,sma_50,sma_200,ema_20,ema_50,dist_sma20_pct,dist_sma50_pct,dist_sma200_pct,dist_ema20_pct,range_pct,body_pct,gap_pct,close_location_pct,traded_value,adv20_shares,adv60_shares,avg_value_20,avg_value_60,volume_ratio_20,value_ratio_20,atr14,atr14_pct,realized_vol_20d_pct,realized_vol_60d_pct,downside_vol_20d_pct,rsi14,high_52w,low_52w,pos_52w_pct,drawdown_60d_pct,drawdown_252d_pct,excess_ret_20d_vs_vnindex_pct,excess_ret_60d_vs_vnindex_pct,beta_60d_vs_vnindex,corr_60d_vs_vnindex,excess_ret_20d_vs_vn30_pct,excess_ret_60d_vs_vn30_pct,beta_60d_vs_vn30,corr_60d_vs_vn30
1753401600,13.258,13.302,13.084,13.127,59211800,2025-07-25,SHB,2025-07-25,0.0,5.9825609559179815,16.209277620396612,23.968268958353,65.91253791708797,54.79952830188679,12.2224,11.74836,9.429565,12.359635285994782,11.759836409385162,7.401165073962557,11.734744253666051,39.21108768007857,6.2086355806530324,1.6606993220080746,-0.9979431705644736,0.9979431705644748,19.724770642202312,777273298.6,74418100.0,68979321.66666667,916982585.2599999,805409404.475,0.7956639580962158,0.8476423773954367,0.3520000000000003,2.681496152967169,29.64800846968535,25.067979677646377,5.555387481812898,76.77522690870255,13.476,7.609,94.0514743480484,0.0,0.0,4.565312153442159,-0.8894330721452626,0.7387074754783833,0.32717971704549986,3.1026097792973495,-3.4877715996245904,0.6689883053751586,0.3380119152402484
1753660800,13.215,14.043,13.215,14.043,137745500,2025-07-28,SHB,2025-07-28,6.9779843071531955,10.270906949352177,24.804479203697106,31.575002342359216,75.80120180270404,68.62391930835736,12.36195,11.80482,9.458705,12.51995573494766,11.849372236468097,13.59858274786745,18.959882488678346,48.46641268545746,12.164933305642457,6.307610268911399,6.307610268911399,0.6703740382417944,100.0,1934360056.5,79675580.0,70281730.0,995362134.7449999,827046714.2,1.728829586179354,1.9433731593532644,0.3925000000000002,2.7949868261767445,36.5557446136347,28.48471488701665,5.564291957047287,83.08051341890308,14.043,7.609,100.0,0.0,0.0,11.625643824682943,5.981679492474125,0.990711963763189,0.3943728724001466,10.045687682540596,3.1580712376265936,0.8410713522602662,0.3798481180840533
1753747200,14.392,14.523,13.127,13.127,152873400,2025-07-29,SHB,2025-07-29,-6.522822758669788,3.0781311346682383,17.121698786581007,24.95954307472632,65.91253791708797,56.199428843407915,12.4579,11.84296,9.483645,12.577769474476453,11.899475286018369,5.370889154672942,10.842221876963198,38.41724358092276,4.366676672188019,9.94089581998148,-9.008046713665163,2.4852239549953747,0.0,2006769121.8000002,84951180.0,71927631.66666667,1069159262.275,851017478.7883334,1.7995441617173533,1.8769599559282837,0.46421428571428575,3.5363318786797113,45.37438098991054,31.635594938307797,23.16585262011918,63.62823949955318,14.523,7.609,79.80908301995952,-6.522822758669788,-6.522822758669788,8.733932427642376,4.712351158787676,1.2103352080248282,0.5587272362488285,7.2901087150440524,2.1028981813447025,1.0583676903914363,0.5413133031409352
1753833600,13.825,14.043,13.433,14.043,142533300,2025-07-30,SHB,2025-07-30,6.9779843071531955,9.891227795602164,24.31834277620397,32.618755312116335,76.64150943396224,67.85799665311978,12.59525,11.8969,9.512975,12.717315238812029,11.983535078723532,11.494412576169587,18.039153056678625,47.61943556037935,10.424250215502306,4.646910946903325,1.6606993220080746,5.317284985145121,100.0,2001595131.8999999,90155920.0,73372953.33333333,1147528954.07,874527156.8866668,1.5809644003410979,1.744265471298863,0.501642857142857,3.5721915341654706,50.34278205320931,34.39013780921453,23.16585262011918,69.22883064516128,14.523,7.609,93.05756436216372,0.0,0.0,15.431957636920844,12.044045426242537,1.2841630600617757,0.5468240672542877,14.335607876422472,9.522438886995559,1.0822361898091204,0.5094085607311566
1753920000,14.959,15.003,14.479,15.003,181312600,2025-07-31,SHB,2025-07-31,6.836146122623377,14.291155633427287,32.31325513713732,38.39129231620699,87.8192288432649,78.52213231794384,12.77845,11.97088,9.547295,12.934999501782311,12.101945467793199,17.408605895081173,25.329132027052314,57.143986857010276,15.987634927490646,3.731396425265263,0.31332336395357463,6.5228227586697995,100.0,2720232937.8,96605120.0,74907590.0,1253872901.19,903741203.6766666,1.8768425524444252,2.1694646524526826,0.5515714285714284,3.6764075756277306,54.122107231081664,36.57683520408751,23.16585262011918,77.27746508234314,15.003,7.609,100.0,0.0,0.0,23.58941363665974,20.063996679098793,1.185109354234261,0.4689563825510018,23.264510875727648,18.842036154560926,0.9171774507221543,0.40222906352513477
1754006400,15.264,15.395,14.872,15.177,120276600,2025-08-01,SHB,2025-08-01,1.1597680463907079,15.616667936314466,33.84778199135725,39.99631030347754,89.99749624436653,81.41286158259622,12.97035,12.0475,9.582295,13.148523358755424,12.22253584160523,17.013033572725476,25.976343639759293,58.38585641539944,15.42741025663419,3.4859694727721102,-0.5798840231953593,1.739652069586084,58.3173996175908,1825437958.2,101188155.0,75739416.66666667,1328921014.595,921451025.5300001,1.188643077838508,1.3736241192305305,0.5671428571428568,3.7368574628902738,53.861902119776204,36.577054962965235,23.16585262011918,78.77004262228535,15.395,7.609,97.200102748523,0.0,0.0,26.043719899170693,22.01240751802815,1.1617723357195506,0.4614106370532411,25.428751516535765,20.63154787049548,0.9101429362457006,0.3994423522597787
1754265600,15.177,16.224,15.177,16.224,91138400,2025-08-04,SHB,2025-08-04,6.898596560585091,15.530869472334974,33.81722203893105,46.79695982627579,99.33652782897164,93.05092812946216,13.17535,12.14338,9.622530000000001,13.441425896016812,12.379456004679536,23.139043744568454,33.60365894833235,68.60430676755487,20.701480077405844,6.8985965605851005,6.8985965605851005,0.0,100.0,1478629401.6,93260990.0,75846710.0,1251495438.135,930492961.5300001,0.9772403230975781,1.1814900450643901,0.6169999999999998,3.8030078895463495,53.82949552672427,38.708551319087746,23.16585262011918,83.0888551677626,16.224,7.609,100.0,0.0,0.0,24.821173367690164,27.71041462109523,1.3068939024738568,0.5038527441946676,24.23520886167441,26.303388210287906,1.0500521084836907,0.4466468002760074
1754352000,17.096,17.183,15.264,16.006,176220400,2025-08-05,SHB,2025-08-05,-1.3436883629191265,21.93189609202406,29.687246799546262,45.390135343809604,98.51172020339823,89.59962094290452,13.35855,12.23154,9.661675,13.685671048777115,12.52167341626073,19.818393463362426,30.85842011717248,65.66485624904584,16.954440472469322,11.828155818540436,-6.718441814595661,5.374753451676528,38.665971860343966,2820583722.4,98925210.0,77529638.33333333,1353686818.655,963696541.865,1.781349769184215,2.0836309281658543,0.7353571428571427,4.594259295621283,54.76214564382889,38.86926266034295,23.271053440726487,79.71086739780658,17.183,7.609,87.7062878629622,-1.3436883629191265,-1.3436883629191265,20.383557539517724,25.774075719400095,1.2650370103077861,0.48868267478183625,19.148885359120428,23.1414768442652,0.9448969539325243,0.41110734132389976
1754438400,16.224,16.66,16.006,16.355,92287300,2025-08-06,SHB,2025-08-06,2.180432337873306,16.4637185786513,33.925646904683916,49.70251716247138,100.94606216979973,98.17036229249969,13.565699999999998,12.32668,9.702755,13.939892853655484,12.671999948956389,20.56141592398477,32.679683418406256,68.56037280133324,17.325148562466875,4.085967762089216,0.81844308384356,1.3619892540297496,53.363914373088726,1509358791.5,97958810.0,78185893.33333333,1361002456.05,979218128.39,0.9421031145641724,1.1090051930402614,0.7633571428571428,4.667423679958073,54.067599723875624,38.878844337013966,23.280289339544083,80.69259962049335,17.183,7.609,91.35157718821809,0.0,0.0,23.977487164024925,29.547217978670147,1.3045104715781468,0.5089276874397228,22.259509417400427,26.421382292991378,0.9678309413756535,0.4272164243119756
1754524800,16.573,16.922,16.093,16.442,92391700,2025-08-07,SHB,2025-08-07,0.5319474166921356,9.59141505032326,31.357353998561965,42.80006948063229,101.07618931148346,100.14607425441268,13.761949999999999,12.42692,9.744079999999999,14.178188772354961,12.819843088213,19.474347748683883,32.30953446228027,68.73835190187276,15.96685771358246,5.068786303882608,-0.800978294099665,1.3329257107917991,42.09891435464414,1519104331.4,98697285.0,76927213.33333333,1388377818.75,972314125.1633334,0.9361118697439347,1.0941577363773336,0.7976428571428571,4.851252020087927,54.04912917334305,37.631800463667204,23.280289339544083,82.06831119544594,17.183,7.609,92.26028828076039,0.0,0.0,21.937996482167854,22.345454798938725,1.3073162647541505,0.527110889570834,20.810882233361315,19.01395612984136,0.9728493320056034,0.4439412495904511
